AppointmentID,ClinicID,PetID,ClientID,VeterinarianID,AppointmentDate,AppointmentTime,AppointmentType,BookingChannel,AppointmentStatus,ScheduledMinutes,ActualMinutes,WaitTimeMinutes,PrimaryDiagnosis,NewPatientVisit,FollowUpRecommended,SatisfactionScore
A0000096,CL002,P007747,C005158,EMP0045,2025-02-05,09:00,Surgery,Phone,Completed,150,137,13,Gastrointestinal Upset,No,No,5
A0000097,CL002,P012409,C008243,EMP0037,2024-11-01,11:15,Wellness,In Person,Cancelled,30,,,,No,No,
A0000098,CL003,P007152,C004787,EMP0072,2025-09-12,16:45,Wellness,In Person,Completed,30,31,13,Mass/Neoplasia,No,No,5
A0000099,CL007,P009153,C006085,EMP0164,2025-07-27,12:30,Sick Visit,Online,Cancelled,30,,,,No,No,
A0000100,CL002,P012161,C008073,EMP0034,2024-08-07,10:45,Wellness,Mobile App,Completed,30,32,12,Routine/Healthy,No,No,5
A0000101,CL003,P007658,C005100,EMP0070,2024-09-10,12:00,Wellness,Phone,Completed,30,32,15,Dermatitis/Allergy,No,No,4
A0000102,CL005,P011065,C007357,EMP0119,2025-08-14,10:30,Vaccination,In Person,Completed,20,15,7,Mass/Neoplasia,No,No,5
A0000103,CL003,P011794,C007837,EMP0070,2025-02-14,08:30,Wellness,Phone,Completed,30,23,0,Routine/Healthy,No,Yes,4
A0000104,CL003,P000631,C000428,EMP0068,2024-06-30,12:15,Sick Visit,Phone,Completed,30,19,26,Routine/Healthy,No,Yes,5
A0000105,CL004,P002324,C001552,EMP0085,2025-05-19,08:15,Specialty Consult,Online,Completed,60,74,0,Diabetes,Yes,No,5
A0000106,CL011,P006916,C004630,EMP0250,2024-10-12,15:15,Dental,In Person,Completed,120,128,10,Dental Disease,No,No,4
A0000107,CL005,P003231,C002144,EMP0118,2024-03-20,16:15,Sick Visit,In Person,Completed,30,21,4,Routine/Healthy,No,No,5
A0000108,CL003,P010826,C007185,EMP0057,2025-12-22,16:30,Sick Visit,Mobile App,Completed,30,32,1,Otitis Externa,No,No,5
A0000109,CL007,P002423,C001617,EMP0162,2025-02-25,08:15,Vaccination,Mobile App,Completed,20,12,11,Dermatitis/Allergy,Yes,No,
A0000110,CL004,P004818,C003210,EMP0091,2024-08-24,10:30,Vaccination,Online,Completed,20,18,0,Otitis Externa,No,No,
A0000111,CL004,P007646,C005095,EMP0089,2025-10-19,10:15,Vaccination,Phone,No Show,20,,,,No,No,
A0000112,CL009,P012673,C008422,EMP0201,2024-11-23,09:45,Wellness,Online,Completed,30,29,25,Upper Respiratory Infection,No,No,5
A0000113,CL011,P000847,C000579,EMP0255,2025-01-16,10:45,Specialty Consult,Mobile App,Completed,60,71,10,Otitis Externa,No,Yes,
A0000114,CL008,P001956,C001307,EMP0190,2025-12-12,18:00,Dental,Online,Completed,120,133,28,Otitis Externa,No,No,
A0000115,CL004,P006652,C004453,EMP0089,2024-11-14,13:30,Vaccination,Mobile App,Completed,20,23,12,Routine/Healthy,No,No,5
A0000116,CL010,P002125,C001419,EMP0227,2025-10-23,08:45,Dental,In Person,Completed,120,109,11,Routine/Healthy,No,No,3
A0000117,CL012,P001691,C001127,EMP0300,2024-04-09,08:30,Vaccination,Online,Completed,20,21,18,Otitis Externa,No,No,4
A0000118,CL012,P009401,C006252,EMP0298,2025-03-15,13:00,Dental,Phone,Completed,120,139,11,Kidney Disease,No,Yes,4
A0000119,CL008,P006528,C004370,EMP0175,2025-09-05,12:45,Wellness,Phone,Completed,30,27,9,Dermatitis/Allergy,No,No,4
A0000120,CL005,P007726,C005144,EMP0118,2024-12-11,12:15,Vaccination,Online,Completed,20,27,25,Gastrointestinal Upset,Yes,Yes,4
A0000121,CL006,P004537,C003010,EMP0133,2024-10-10,10:15,Sick Visit,Mobile App,Completed,30,42,1,Trauma,No,No,4
A0000122,CL002,P008961,C005956,EMP0031,2025-04-05,10:15,Specialty Consult,Phone,Completed,60,56,7,Other,No,No,5
A0000123,CL012,P008255,C005506,EMP0281,2024-12-09,11:00,Vaccination,Phone,Completed,20,14,16,Gastrointestinal Upset,No,Yes,4
A0000124,CL007,P012244,C008130,EMP0165,2024-09-22,12:45,Dental,Online,Completed,120,160,7,Other,No,Yes,
A0000125,CL001,P000562,C000387,EMP0021,2025-12-26,11:15,Specialty Consult,Mobile App,Completed,60,64,22,Routine/Healthy,No,No,4
A0000126,CL007,P003189,C002114,EMP0160,2024-06-03,13:45,Sick Visit,Phone,Cancelled,30,,,,No,No,
A0000127,CL005,P010112,C006725,EMP0123,2024-12-04,08:15,Sick Visit,Online,Completed,30,22,14,Routine/Healthy,Yes,Yes,5
A0000128,CL005,P004189,C002779,EMP0107,2025-04-12,09:00,Wellness,In Person,Cancelled,30,,,,No,No,
A0000129,CL010,P002805,C001868,EMP0227,2024-08-20,17:45,Surgery,Online,Completed,150,141,17,Trauma,No,No,4
A0000130,CL002,P009777,C006501,EMP0041,2025-01-08,09:00,Emergency,Online,Completed,60,66,25,Dental Disease,No,No,4
A0000131,CL007,P009862,C006557,EMP0164,2025-08-23,13:15,Surgery,In Person,Completed,150,108,16,Dental Disease,No,Yes,5
A0000132,CL012,P002151,C001436,EMP0278,2025-07-04,11:45,Vaccination,In Person,Completed,20,26,24,Diabetes,Yes,Yes,5
A0000133,CL009,P011875,C007889,EMP0218,2024-08-23,08:15,Surgery,Mobile App,Completed,150,224,7,Dermatitis/Allergy,No,No,
A0000134,CL001,P012593,C008368,EMP0014,2025-11-25,13:00,Sick Visit,Phone,Completed,30,31,23,Dermatitis/Allergy,No,Yes,5
A0000135,CL004,P009520,C006330,EMP0078,2024-08-10,15:30,Wellness,Mobile App,Completed,30,26,18,Routine/Healthy,Yes,No,5
A0000136,CL009,P009220,C006128,EMP0203,2025-10-27,09:15,Wellness,Mobile App,No Show,30,,,,No,No,
A0000137,CL011,P011959,C007947,EMP0247,2025-09-18,13:30,Surgery,Phone,Cancelled,150,,,,No,No,
A0000138,CL004,P008206,C005475,EMP0089,2024-01-08,12:45,Surgery,Mobile App,Completed,150,207,20,Routine/Healthy,No,Yes,
A0000139,CL007,P001442,C000970,EMP0164,2024-05-11,17:15,Dental,Phone,Completed,120,158,0,Trauma,No,Yes,4
A0000140,CL001,P010482,C006958,EMP0026,2024-01-05,14:00,Sick Visit,Online,Completed,30,29,26,Upper Respiratory Infection,No,No,5
A0000141,CL002,P002977,C001982,EMP0037,2025-02-05,13:30,Wellness,Online,Completed,30,22,23,Otitis Externa,No,Yes,5
A0000142,CL004,P008169,C005448,EMP0099,2024-11-16,12:15,Wellness,In Person,No Show,30,,,,No,No,
A0000143,CL005,P006490,C004345,EMP0115,2024-12-12,11:15,Wellness,Mobile App,Completed,30,35,22,Dermatitis/Allergy,No,No,5
A0000144,CL004,P009031,C006004,EMP0078,2024-04-16,12:00,Wellness,In Person,Completed,30,20,17,Dermatitis/Allergy,No,No,3
A0000145,CL012,P012649,C008408,EMP0298,2024-06-13,09:45,Sick Visit,Phone,Completed,30,35,8,Lameness/Arthritis,Yes,No,4
A0000146,CL011,P000490,C000337,EMP0254,2024-09-30,09:45,Vaccination,In Person,No Show,20,,,,No,No,
A0000147,CL006,P007068,C004725,EMP0132,2025-03-05,13:00,Specialty Consult,In Person,Completed,60,35,15,Routine/Healthy,No,No,5
A0000148,CL009,P007900,C005263,EMP0218,2024-10-17,11:00,Specialty Consult,Mobile App,Completed,60,67,0,Dental Disease,No,No,
A0000149,CL009,P009553,C006349,EMP0203,2025-01-20,15:45,Specialty Consult,Online,Completed,60,77,5,Upper Respiratory Infection,No,No,
A0000150,CL009,P006646,C004449,EMP0206,2024-11-23,08:00,Sick Visit,Online,No Show,30,,,,No,No,
A0000151,CL009,P000480,C000331,EMP0208,2024-03-30,11:15,Wellness,Phone,Completed,30,30,11,Routine/Healthy,No,No,5
A0000152,CL012,P010360,C006881,EMP0277,2025-04-30,14:15,Dental,Phone,Completed,120,141,13,Mass/Neoplasia,No,No,
A0000153,CL011,P003096,C002057,EMP0264,2025-02-01,16:00,Wellness,In Person,Completed,30,43,33,Routine/Healthy,No,No,5
A0000154,CL002,P010223,C006795,EMP0035,2025-01-12,16:15,Emergency,In Person,No Show,60,,,,No,No,
A0000155,CL012,P006743,C004510,EMP0300,2025-08-11,08:15,Sick Visit,Phone,Cancelled,30,,,,No,No,
A0000156,CL009,P005818,C003899,EMP0215,2025-06-27,09:00,Follow-up,Phone,Completed,20,20,26,Dental Disease,Yes,Yes,4
A0000157,CL005,P000419,C000289,EMP0107,2024-01-28,08:30,Dental,Online,Completed,120,103,2,Routine/Healthy,No,No,5
A0000158,CL004,P002813,C001873,EMP0080,2025-05-02,08:45,Sick Visit,Online,Completed,30,27,19,Routine/Healthy,No,Yes,4
A0000159,CL008,P008862,C005894,EMP0186,2024-02-02,14:45,Surgery,Phone,Completed,150,154,11,Gastrointestinal Upset,No,Yes,
A0000160,CL011,P008558,C005707,EMP0254,2024-01-13,13:00,Sick Visit,Online,Cancelled,30,,,,Yes,No,
A0000161,CL003,P008016,C005348,EMP0073,2024-11-20,11:15,Specialty Consult,Phone,Completed,60,49,30,Kidney Disease,No,No,4
A0000162,CL008,P006621,C004434,EMP0195,2025-11-13,10:00,Sick Visit,Online,Completed,30,32,8,Dermatitis/Allergy,No,No,3
A0000163,CL002,P001059,C000717,EMP0034,2025-12-26,14:15,Emergency,Online,No Show,60,,,,No,No,
A0000164,CL002,P004159,C002759,EMP0045,2025-07-11,13:15,Specialty Consult,Phone,Completed,60,99,7,Heart Disease,No,No,4
A0000165,CL002,P006885,C004610,EMP0031,2024-10-01,09:15,Sick Visit,Mobile App,No Show,30,,,,No,No,
A0000166,CL009,P002176,C001451,EMP0218,2025-02-28,15:45,Vaccination,Online,No Show,20,,,,No,No,
A0000167,CL012,P005808,C003892,EMP0291,2024-01-06,09:00,Wellness,In Person,Completed,30,26,7,Lameness/Arthritis,No,No,
A0000168,CL003,P000415,C000286,EMP0073,2025-11-28,09:15,Emergency,In Person,Completed,60,64,15,Trauma,No,No,5
A0000169,CL002,P004118,C002733,EMP0045,2025-09-25,15:00,Emergency,In Person,Completed,60,56,16,Lameness/Arthritis,No,No,4
A0000170,CL012,P009971,C006636,EMP0285,2024-07-22,12:30,Vaccination,In Person,No Show,20,,,,No,No,
A0000171,CL003,P003896,C002575,EMP0070,2025-08-04,10:30,Vaccination,In Person,Completed,20,15,15,Lameness/Arthritis,No,Yes,5
A0000172,CL010,P002917,C001940,EMP0230,2025-03-29,08:00,Wellness,Mobile App,Cancelled,30,,,,No,No,
A0000173,CL005,P000934,C000637,EMP0109,2024-04-23,09:45,Wellness,Mobile App,Completed,30,41,10,Dental Disease,No,No,5
A0000174,CL002,P008570,C005714,EMP0035,2024-09-16,15:45,Wellness,Phone,Completed,30,23,13,Dermatitis/Allergy,Yes,No,4
A0000175,CL006,P011272,C007494,EMP0140,2024-06-04,11:00,Sick Visit,Online,Completed,30,29,18,Upper Respiratory Infection,No,No,5
A0000176,CL006,P005804,C003891,EMP0149,2025-09-18,11:45,Specialty Consult,Online,Completed,60,38,15,Trauma,No,Yes,5
A0000177,CL012,P006214,C004170,EMP0298,2024-04-09,14:15,Sick Visit,Phone,Completed,30,19,21,Dermatitis/Allergy,No,No,4
A0000178,CL004,P010931,C007260,EMP0091,2024-08-15,16:00,Vaccination,In Person,Completed,20,23,11,Dermatitis/Allergy,No,No,3
A0000179,CL003,P003711,C002454,EMP0068,2025-05-15,11:30,Dental,In Person,Completed,120,108,20,Gastrointestinal Upset,No,Yes,5
A0000180,CL012,P011361,C007557,EMP0283,2024-05-13,10:45,Vaccination,Mobile App,No Show,20,,,,No,No,
A0000181,CL007,P006078,C004078,EMP0163,2025-05-13,09:15,Sick Visit,Online,No Show,30,,,,No,No,
A0000182,CL005,P001147,C000768,EMP0118,2024-01-15,10:00,Sick Visit,Phone,Completed,30,36,14,Lameness/Arthritis,No,Yes,5
A0000183,CL004,P004066,C002694,EMP0092,2025-02-15,16:30,Sick Visit,Online,Completed,30,28,30,Upper Respiratory Infection,No,Yes,5
A0000184,CL010,P008185,C005458,EMP0230,2024-10-02,15:30,Sick Visit,In Person,Completed,30,34,13,Routine/Healthy,No,No,3
A0000185,CL009,P009685,C006439,EMP0215,2025-12-10,11:15,Wellness,Mobile App,Completed,30,31,12,Mass/Neoplasia,No,No,5
A0000186,CL004,P004786,C003189,EMP0097,2025-04-25,08:00,Wellness,Phone,Cancelled,30,,,,No,No,
A0000187,CL003,P005690,C003823,EMP0062,2024-12-19,11:00,Wellness,Phone,Cancelled,30,,,,No,No,
A0000188,CL006,P006781,C004536,EMP0132,2025-09-18,09:45,Sick Visit,In Person,Completed,30,41,16,Gastrointestinal Upset,No,Yes,4
A0000189,CL011,P004169,C002767,EMP0255,2025-10-31,14:45,Wellness,Phone,Completed,30,39,4,Dermatitis/Allergy,No,No,5
A0000190,CL006,P002877,C001913,EMP0132,2025-08-12,15:15,Sick Visit,Online,Completed,30,39,12,Lameness/Arthritis,No,Yes,5
A0000191,CL007,P012684,C008427,EMP0160,2024-04-19,11:45,Wellness,Online,Completed,30,32,13,Upper Respiratory Infection,No,Yes,4
A0000192,CL006,P003112,C002067,EMP0144,2024-04-04,16:15,Dental,In Person,No Show,120,,,,No,No,
A0000193,CL002,P002246,C001503,EMP0031,2025-07-10,12:15,Wellness,Online,No Show,30,,,,No,No,
A0000194,CL005,P011230,C007465,EMP0119,2025-12-12,10:00,Follow-up,Online,Completed,20,16,25,Lameness/Arthritis,Yes,No,5
A0000195,CL008,P003970,C002629,EMP0194,2024-03-14,13:45,Follow-up,Mobile App,Completed,20,12,0,Gastrointestinal Upset,Yes,No,5
A0000196,CL012,P009929,C006605,EMP0274,2025-07-19,09:15,Wellness,Online,Cancelled,30,,,,No,No,
A0000197,CL002,P011988,C007967,EMP0032,2025-04-12,11:45,Wellness,Online,Completed,30,37,29,Gastrointestinal Upset,No,Yes,4
A0000198,CL008,P004791,C003192,EMP0175,2024-05-02,16:45,Wellness,In Person,Completed,30,33,0,Mass/Neoplasia,Yes,No,5
A0000199,CL008,P007744,C005156,EMP0191,2025-05-10,09:00,Surgery,Online,Completed,150,133,0,Routine/Healthy,No,Yes,5
A0000200,CL003,P000539,C000370,EMP0068,2024-12-03,15:00,Sick Visit,Phone,Completed,30,17,25,Trauma,No,No,5
A0000201,CL002,P008266,C005513,EMP0033,2025-01-24,15:30,Wellness,Phone,Completed,30,23,6,Dermatitis/Allergy,No,No,
A0000202,CL004,P008366,C005587,EMP0104,2025-04-02,13:30,Wellness,Phone,Completed,30,26,12,Otitis Externa,No,No,5
A0000203,CL005,P005296,C003539,EMP0124,2024-04-19,09:15,Surgery,Phone,Completed,150,167,24,Routine/Healthy,No,No,5
A0000204,CL003,P008804,C005855,EMP0070,2025-07-24,10:45,Emergency,Mobile App,Completed,60,67,40,Dermatitis/Allergy,No,No,5
