Month,EmployeeID,ClinicID,Role,RegularHours,OvertimeHours,PTOHours,ProductiveHours
2024-01-01,EMP0028,CL001,Veterinary Technician,184.2,3.6,0,187.8
2024-01-01,EMP0029,CL001,Veterinarian,181.6,4.9,24,162.5
2024-01-01,EMP0030,CL002,Kennel Assistant,175.8,2.6,8,170.4
2024-01-01,EMP0031,CL002,Veterinarian,128.2,0,8,120.2
2024-01-01,EMP0032,CL002,Veterinarian,125.4,3.9,24,105.3
2024-01-01,EMP0033,CL002,Veterinarian,146.1,14.5,8,152.6
2024-01-01,EMP0034,CL002,Veterinarian,134.0,3.9,0,137.9
2024-01-01,EMP0035,CL002,Veterinarian,161.1,4.2,0,165.3
2024-01-01,EMP0036,CL002,Client Service Representative,176.6,0,24,152.6
2024-01-01,EMP0037,CL002,Veterinarian,141.9,8.0,0,149.9
2024-01-01,EMP0038,CL002,Client Service Representative,180.7,0,24,156.7
2024-01-01,EMP0039,CL002,Veterinary Assistant,184.1,3.1,8,179.2
2024-01-01,EMP0040,CL002,Veterinary Technician,89.9,7.3,24,73.2
2024-01-01,EMP0041,CL002,Veterinarian,169.2,5.7,24,150.9
2024-01-01,EMP0042,CL002,Veterinary Technician,167.8,7.7,8,167.5
2024-01-01,EMP0043,CL002,Veterinary Technician,107.4,0.6,24,84.0
2024-01-01,EMP0044,CL002,Veterinary Assistant,142.9,2.8,0,145.7
2024-01-01,EMP0045,CL002,Veterinarian,181.7,2.7,0,184.4
2024-01-01,EMP0046,CL002,Veterinary Technician,141.9,4.2,0,146.1
2024-01-01,EMP0047,CL002,Veterinary Assistant,168.4,5.6,0,174.0
2024-01-01,EMP0048,CL002,Kennel Assistant,178.9,0,16,162.9
2024-01-01,EMP0049,CL002,Client Service Representative,113.1,0,0,113.1
2024-01-01,EMP0050,CL002,Practice Manager,169.4,0.2,16,153.6
2024-01-01,EMP0051,CL003,Practice Manager,173.3,3.2,8,168.5
2024-01-01,EMP0052,CL003,Veterinary Technician,176.4,3.7,8,172.1
2024-01-01,EMP0053,CL003,Kennel Assistant,114.5,4.5,8,111.0
2024-01-01,EMP0054,CL003,Veterinarian,176.6,6.6,8,175.2
2024-01-01,EMP0055,CL003,Veterinary Assistant,138.2,1.3,8,131.5
2024-01-01,EMP0056,CL003,Client Service Representative,178.2,2.3,0,180.5
2024-01-01,EMP0057,CL003,Veterinarian,117.1,1.5,8,110.6
2024-01-01,EMP0058,CL003,Veterinary Assistant,108.4,10.0,0,118.4
2024-01-01,EMP0059,CL003,Client Service Representative,183.3,8.7,8,184.0
2024-01-01,EMP0060,CL003,Veterinarian,173.0,2.0,16,159.0
2024-01-01,EMP0061,CL003,Kennel Assistant,101.5,12.6,0,114.1
2024-01-01,EMP0062,CL003,Veterinarian,176.3,4.9,16,165.2
2024-01-01,EMP0063,CL003,Veterinary Technician,163.3,5.9,0,169.2
2024-01-01,EMP0064,CL003,Veterinary Technician,193.1,4.3,8,189.4
2024-01-01,EMP0065,CL003,Veterinarian,162.9,9.1,8,164.0
2024-01-01,EMP0066,CL003,Client Service Representative,164.6,5.1,8,161.7
2024-01-01,EMP0067,CL003,Practice Manager,141.2,5.0,8,138.2
2024-01-01,EMP0068,CL003,Veterinarian,180.8,1.7,8,174.5
2024-01-01,EMP0069,CL003,Veterinary Assistant,172.5,1.0,8,165.5
2024-01-01,EMP0070,CL003,Veterinarian,161.8,3.2,8,157.0
2024-01-01,EMP0071,CL003,Kennel Assistant,185.0,5.9,0,190.9
2024-01-01,EMP0072,CL003,Veterinarian,151.4,5.4,0,156.8
2024-01-01,EMP0073,CL003,Veterinarian,151.8,8.4,0,160.2
2024-01-01,EMP0074,CL003,Veterinary Technician,169.2,5.0,0,174.2
2024-01-01,EMP0075,CL003,Veterinarian,139.4,0.4,16,123.8
2024-01-01,EMP0076,CL004,Client Service Representative,186.8,9.9,0,196.7
2024-01-01,EMP0077,CL004,Veterinarian,130.6,1.3,0,131.9
2024-01-01,EMP0078,CL004,Veterinarian,169.6,0,0,169.6
2024-01-01,EMP0079,CL004,Veterinary Technician,174.8,11.9,0,186.7
2024-01-01,EMP0080,CL004,Veterinarian,172.6,8.8,0,181.4
2024-01-01,EMP0081,CL004,Veterinary Technician,144.0,9.5,0,153.5
2024-01-01,EMP0082,CL004,Veterinarian,165.1,3.3,0,168.4
2024-01-01,EMP0083,CL004,Veterinary Assistant,176.2,3.6,8,171.8
2024-01-01,EMP0084,CL004,Veterinarian,120.3,12.8,8,125.1
2024-01-01,EMP0085,CL004,Veterinarian,171.1,2.1,16,157.2
2024-01-01,EMP0086,CL004,Veterinary Assistant,161.6,0,0,161.6
2024-01-01,EMP0087,CL004,Veterinary Technician,160.3,2.0,16,146.3
2024-01-01,EMP0088,CL004,Veterinarian,147.1,1.1,16,132.2
2024-01-01,EMP0089,CL004,Veterinarian,174.5,2.6,24,153.1
2024-01-01,EMP0090,CL004,Veterinary Technician,183.8,2.7,24,162.5
2024-01-01,EMP0091,CL004,Veterinarian,154.2,8.7,16,146.9
2024-01-01,EMP0092,CL004,Veterinarian,183.6,3.3,0,186.9
2024-01-01,EMP0093,CL004,Veterinary Technician,103.5,0,0,103.5
2024-01-01,EMP0094,CL004,Practice Manager,129.7,0.5,0,130.2
2024-01-01,EMP0095,CL004,Veterinary Assistant,168.4,0,16,152.4
2024-01-01,EMP0096,CL004,Veterinary Assistant,165.5,0,8,157.5
2024-01-01,EMP0097,CL004,Veterinarian,182.0,9.6,0,191.6
2024-01-01,EMP0098,CL004,Client Service Representative,164.7,0,0,164.7
2024-01-01,EMP0099,CL004,Veterinarian,169.9,5.2,8,167.1
2024-01-01,EMP0100,CL004,Veterinary Technician,160.7,6.7,0,167.4
2024-01-01,EMP0101,CL004,Veterinary Assistant,100.3,0,24,76.3
2024-01-01,EMP0102,CL004,Veterinary Technician,127.8,9.1,0,136.9
2024-01-01,EMP0103,CL004,Practice Manager,91.4,0,16,75.4
2024-01-01,EMP0104,CL004,Veterinarian,180.1,3.6,24,159.7
2024-01-01,EMP0105,CL004,Veterinary Technician,177.5,0,0,177.5
2024-01-01,EMP0106,CL005,Practice Manager,166.2,0,16,150.2
2024-01-01,EMP0107,CL005,Veterinarian,173.2,5.2,24,154.4
2024-01-01,EMP0108,CL005,Client Service Representative,102.7,1.3,16,88.0
2024-01-01,EMP0109,CL005,Veterinarian,175.7,3.0,24,154.7
2024-01-01,EMP0110,CL005,Veterinary Technician,186.4,11.2,16,181.6
2024-01-01,EMP0111,CL005,Veterinarian,171.1,4.3,0,175.4
2024-01-01,EMP0112,CL005,Veterinary Technician,109.0,8.0,0,117.0
2024-01-01,EMP0113,CL005,Veterinarian,164.6,3.2,16,151.8
2024-01-01,EMP0114,CL005,Veterinary Technician,173.7,1.5,0,175.2
2024-01-01,EMP0115,CL005,Veterinarian,137.9,7.3,0,145.2
2024-01-01,EMP0116,CL005,Veterinary Assistant,187.2,2.8,16,174.0
2024-01-01,EMP0117,CL005,Veterinarian,175.6,0,8,167.6
2024-01-01,EMP0118,CL005,Veterinarian,143.4,4.3,0,147.7
2024-01-01,EMP0119,CL005,Veterinarian,168.9,2.2,24,147.1
2024-01-01,EMP0120,CL005,Veterinary Technician,146.5,10.1,8,148.6
2024-01-01,EMP0121,CL005,Veterinary Assistant,146.7,1.4,8,140.1
2024-01-01,EMP0122,CL005,Veterinarian,143.6,1.6,0,145.2
2024-01-01,EMP0123,CL005,Veterinarian,190.8,7.8,16,182.6
2024-01-01,EMP0124,CL005,Veterinarian,160.7,5.9,0,166.6
2024-01-01,EMP0125,CL005,Veterinary Technician,168.4,3.4,16,155.8
2024-01-01,EMP0126,CL005,Veterinarian,175.5,12.0,8,179.5
2024-01-01,EMP0127,CL005,Veterinary Technician,126.1,3.3,16,113.4
2024-01-01,EMP0128,CL005,Veterinary Technician,113.9,8.3,16,106.2
2024-01-01,EMP0129,CL005,Veterinary Assistant,128.9,0,0,128.9
2024-01-01,EMP0130,CL005,Veterinarian,133.9,4.3,0,138.2
2024-01-01,EMP0131,CL006,Veterinarian,185.9,3.4,8,181.3
2024-01-01,EMP0132,CL006,Veterinarian,162.7,0,8,154.7
2024-01-01,EMP0133,CL006,Veterinarian,175.2,0.7,24,151.9
2024-01-01,EMP0134,CL006,Veterinarian,171.8,0.0,24,147.8
2024-01-01,EMP0135,CL006,Veterinarian,141.5,5.9,8,139.4
2024-01-01,EMP0136,CL006,Veterinary Technician,156.5,9.5,0,166.0
2024-01-01,EMP0137,CL006,Client Service Representative,154.8,4.8,0,159.6
2024-01-01,EMP0138,CL006,Kennel Assistant,176.3,8.3,0,184.6
2024-01-01,EMP0139,CL006,Veterinary Technician,138.7,6.9,0,145.6
2024-01-01,EMP0140,CL006,Veterinarian,167.1,6.5,0,173.6
2024-01-01,EMP0141,CL006,Practice Manager,143.9,0.5,0,144.4
2024-01-01,EMP0142,CL006,Veterinary Technician,169.5,16.3,24,161.8
2024-01-01,EMP0143,CL006,Veterinary Technician,111.7,0,8,103.7
2024-01-01,EMP0144,CL006,Veterinarian,144.6,6.7,8,143.3
2024-01-01,EMP0145,CL006,Veterinary Technician,174.4,3.7,0,178.1
2024-01-01,EMP0146,CL006,Veterinarian,128.1,3.3,8,123.4
2024-01-01,EMP0147,CL006,Veterinary Technician,174.1,9.9,16,168.0
2024-01-01,EMP0148,CL006,Client Service Representative,164.1,0,24,140.1
2024-01-01,EMP0149,CL006,Veterinarian,138.6,0.3,0,138.9
2024-01-01,EMP0150,CL006,Veterinarian,167.9,5.8,0,173.7
2024-01-01,EMP0151,CL007,Veterinary Technician,119.4,2.5,8,113.9
2024-01-01,EMP0152,CL007,Veterinary Technician,132.4,7.8,8,132.2
2024-01-01,EMP0153,CL007,Veterinary Technician,118.8,2.5,8,113.3
2024-01-01,EMP0154,CL007,Veterinary Technician,174.3,3.3,16,161.6
2024-01-01,EMP0155,CL007,Veterinary Assistant,175.4,3.9,8,171.3
2024-01-01,EMP0156,CL007,Practice Manager,175.1,0,0,175.1
2024-01-01,EMP0157,CL007,Veterinarian,181.7,9.6,8,183.3
2024-01-01,EMP0158,CL007,Client Service Representative,97.6,4.4,0,102.0
2024-01-01,EMP0159,CL007,Veterinary Technician,179.8,2.1,0,181.9
2024-01-01,EMP0160,CL007,Veterinarian,131.3,8.2,8,131.5
2024-01-01,EMP0161,CL007,Veterinary Technician,108.4,10.1,0,118.5
2024-01-01,EMP0162,CL007,Veterinarian,173.2,3.1,8,168.3
2024-01-01,EMP0163,CL007,Veterinarian,173.4,4.9,0,178.3
2024-01-01,EMP0164,CL007,Veterinarian,175.5,7.8,0,183.3
2024-01-01,EMP0165,CL007,Veterinarian,169.7,4.0,0,173.7
2024-01-01,EMP0166,CL007,Client Service Representative,173.7,7.5,0,181.2
2024-01-01,EMP0167,CL007,Veterinary Assistant,101.8,6.0,16,91.8
2024-01-01,EMP0168,CL007,Veterinary Technician,136.0,5.4,24,117.4
2024-01-01,EMP0169,CL007,Practice Manager,175.9,0,8,167.9
2024-01-01,EMP0170,CL007,Veterinarian,169.6,6.7,0,176.3
2024-01-01,EMP0171,CL007,Veterinary Technician,121.5,8.9,8,122.4
2024-01-01,EMP0172,CL007,Veterinary Technician,189.1,0,0,189.1
2024-01-01,EMP0173,CL007,Veterinary Assistant,173.9,0.3,0,174.2
2024-01-01,EMP0174,CL007,Veterinarian,178.4,1.6,24,156.0
2024-01-01,EMP0175,CL008,Veterinarian,164.9,5.0,0,169.9
2024-01-01,EMP0176,CL008,Client Service Representative,95.4,1.0,16,80.4
2024-01-01,EMP0177,CL008,Client Service Representative,176.6,0,8,168.6
2024-01-01,EMP0178,CL008,Practice Manager,182.2,2.9,8,177.1
2024-01-01,EMP0179,CL008,Veterinary Assistant,171.5,9.5,16,165.0
2024-01-01,EMP0180,CL008,Kennel Assistant,164.3,0,16,148.3
2024-01-01,EMP0181,CL008,Veterinarian,164.5,6.0,24,146.5
2024-01-01,EMP0182,CL008,Veterinarian,172.4,1.5,0,173.9
2024-01-01,EMP0183,CL008,Veterinary Assistant,172.7,0.6,8,165.3
2024-01-01,EMP0184,CL008,Veterinary Assistant,170.1,7.4,8,169.5
2024-01-01,EMP0185,CL008,Kennel Assistant,132.2,2.3,0,134.5
2024-01-01,EMP0186,CL008,Veterinarian,178.2,7.0,0,185.2
2024-01-01,EMP0187,CL008,Kennel Assistant,170.4,1.6,0,172.0
2024-01-01,EMP0188,CL008,Veterinary Technician,169.4,3.2,0,172.6
2024-01-01,EMP0189,CL008,Veterinary Technician,178.0,3.9,24,157.9
2024-01-01,EMP0190,CL008,Veterinarian,169.9,10.0,0,179.9
2024-01-01,EMP0191,CL008,Veterinarian,156.9,8.7,8,157.6
2024-01-01,EMP0192,CL008,Kennel Assistant,129.0,8.2,0,137.2
2024-01-01,EMP0193,CL008,Veterinarian,144.1,5.1,16,133.2
2024-01-01,EMP0194,CL008,Veterinarian,177.9,8.2,8,178.1
2024-01-01,EMP0195,CL008,Veterinarian,174.3,13.5,24,163.8
2024-01-01,EMP0196,CL008,Client Service Representative,138.5,0,0,138.5
2024-01-01,EMP0197,CL008,Practice Manager,161.9,3.7,24,141.6
2024-01-01,EMP0198,CL009,Veterinarian,164.4,2.8,0,167.2
2024-01-01,EMP0199,CL009,Veterinary Assistant,167.4,3.1,0,170.5
2024-01-01,EMP0200,CL009,Kennel Assistant,170.9,2.8,16,157.7
2024-01-01,EMP0201,CL009,Veterinarian,170.8,4.6,8,167.4
2024-01-01,EMP0202,CL009,Veterinary Technician,109.1,3.4,0,112.5
2024-01-01,EMP0203,CL009,Veterinarian,143.0,1.1,0,144.1
2024-01-01,EMP0204,CL009,Veterinary Technician,98.6,6.9,8,97.5
2024-01-01,EMP0205,CL009,Veterinarian,167.7,7.2,8,166.9
2024-01-01,EMP0206,CL009,Veterinarian,176.7,1.0,24,153.7
2024-01-01,EMP0207,CL009,Veterinarian,177.7,6.8,16,168.5
2024-01-01,EMP0208,CL009,Veterinarian,133.7,6.5,8,132.2
2024-01-01,EMP0209,CL009,Veterinarian,179.7,6.3,8,178.0
2024-01-01,EMP0210,CL009,Veterinarian,173.6,8.5,0,182.1
2024-01-01,EMP0211,CL009,Practice Manager,166.1,7.4,8,165.5
2024-01-01,EMP0212,CL009,Veterinary Technician,168.1,9.4,16,161.5
2024-01-01,EMP0213,CL009,Veterinary Assistant,182.6,4.8,8,179.4
2024-01-01,EMP0214,CL009,Veterinarian,173.3,4.6,0,177.9
2024-01-01,EMP0215,CL009,Veterinarian,142.7,7.1,0,149.8
2024-01-01,EMP0216,CL009,Client Service Representative,122.6,0.6,8,115.2
2024-01-01,EMP0217,CL009,Client Service Representative,165.1,2.0,16,151.1
2024-01-01,EMP0218,CL009,Veterinarian,138.5,8.9,24,123.4
2024-01-01,EMP0219,CL009,Practice Manager,103.4,0,0,103.4
2024-01-01,EMP0220,CL009,Veterinary Technician,109.1,2.6,8,103.7
2024-01-01,EMP0221,CL009,Veterinary Technician,171.7,2.3,0,174.0
2024-01-01,EMP0222,CL010,Veterinary Assistant,98.0,4.3,0,102.3
2024-01-01,EMP0223,CL010,Veterinarian,160.2,4.1,8,156.3
2024-01-01,EMP0224,CL010,Veterinary Assistant,123.0,0,0,123.0
2024-01-01,EMP0225,CL010,Veterinary Assistant,132.9,0.4,16,117.3
2024-01-01,EMP0226,CL010,Veterinarian,172.1,6.7,16,162.8
2024-01-01,EMP0227,CL010,Veterinarian,175.0,10.9,24,161.9
2024-01-01,EMP0228,CL010,Veterinary Assistant,0,4.0,24,0
2024-01-01,EMP0229,CL010,Veterinarian,168.4,0.6,0,169.0
2024-01-01,EMP0230,CL010,Veterinarian,151.2,2.8,24,130.0
2024-01-01,EMP0231,CL010,Veterinary Technician,175.9,1.5,8,169.4
2024-01-01,EMP0232,CL010,Practice Manager,182.1,1.4,0,183.5
2024-01-01,EMP0233,CL010,Veterinary Technician,162.2,8.3,16,154.5
2024-01-01,EMP0234,CL010,Client Service Representative,169.2,5.9,0,175.1
2024-01-01,EMP0235,CL010,Veterinarian,156.4,6.2,8,154.6
2024-01-01,EMP0236,CL010,Veterinarian,181.9,3.5,24,161.4
2024-01-01,EMP0237,CL010,Veterinary Technician,176.9,10.0,0,186.9
2024-01-01,EMP0238,CL010,Veterinarian,186.5,1.8,8,180.3
2024-01-01,EMP0239,CL010,Veterinary Assistant,179.8,2.0,16,165.8
2024-01-01,EMP0240,CL010,Veterinary Technician,181.7,3.6,0,185.3
2024-01-01,EMP0241,CL010,Veterinary Technician,103.8,2.3,16,90.1
2024-01-01,EMP0242,CL010,Practice Manager,126.6,0,8,118.6
2024-01-01,EMP0243,CL010,Veterinary Technician,175.8,0.2,16,160.0
2024-01-01,EMP0244,CL010,Client Service Representative,171.1,0,0,171.1
2024-01-01,EMP0245,CL010,Practice Manager,164.6,0,0,164.6
2024-01-01,EMP0246,CL011,Veterinary Technician,135.7,1.5,24,113.2
2024-01-01,EMP0247,CL011,Veterinarian,181.4,7.9,8,181.3
2024-01-01,EMP0248,CL011,Client Service Representative,178.5,4.4,24,158.9
2024-01-01,EMP0249,CL011,Practice Manager,96.6,7.5,0,104.1
2024-01-01,EMP0250,CL011,Veterinarian,183.7,8.0,24,167.7
2024-01-01,EMP0251,CL011,Veterinarian,132.2,0,16,116.2
2024-01-01,EMP0252,CL011,Veterinary Technician,171.7,9.4,16,165.1
2024-01-01,EMP0253,CL011,Client Service Representative,147.1,2.7,0,149.8
2024-01-01,EMP0254,CL011,Veterinarian,182.8,7.1,16,173.9
2024-01-01,EMP0255,CL011,Veterinarian,159.2,5.0,8,156.2
2024-01-01,EMP0256,CL011,Veterinarian,140.8,2.2,8,135.0
2024-01-01,EMP0257,CL011,Veterinarian,167.1,1.6,0,168.7
2024-01-01,EMP0258,CL011,Veterinary Assistant,97.4,7.9,0,105.3
2024-01-01,EMP0259,CL011,Practice Manager,172.9,4.1,16,161.0
2024-01-01,EMP0260,CL011,Veterinarian,143.3,0.3,8,135.6
2024-01-01,EMP0261,CL011,Client Service Representative,180.6,5.3,16,169.9
2024-01-01,EMP0262,CL011,Veterinarian,176.5,4.1,8,172.6
2024-01-01,EMP0263,CL011,Veterinarian,172.2,11.8,8,176.0
2024-01-01,EMP0264,CL011,Veterinarian,162.4,4.8,0,167.2
2024-01-01,EMP0265,CL011,Veterinary Assistant,103.2,0,24,79.2
2024-01-01,EMP0266,CL011,Veterinarian,168.4,4.3,8,164.7
2024-01-01,EMP0267,CL012,Client Service Representative,97.4,3.9,8,93.3
2024-01-01,EMP0268,CL012,Veterinary Technician,157.6,7.5,0,165.1
2024-01-01,EMP0269,CL012,Practice Manager,177.5,4.8,0,182.3
2024-01-01,EMP0270,CL012,Client Service Representative,142.4,3.5,0,145.9
2024-01-01,EMP0271,CL012,Veterinary Technician,166.2,6.2,0,172.4
2024-01-01,EMP0272,CL012,Practice Manager,137.2,2.3,8,131.5
2024-01-01,EMP0273,CL012,Veterinary Technician,166.2,3.0,0,169.2
2024-01-01,EMP0274,CL012,Veterinarian,128.2,7.2,0,135.4
2024-01-01,EMP0275,CL012,Veterinary Technician,149.6,2.4,8,144.0
2024-01-01,EMP0276,CL012,Veterinary Technician,101.7,0.5,0,102.2
2024-01-01,EMP0277,CL012,Veterinarian,142.1,6.6,16,132.7
2024-01-01,EMP0278,CL012,Veterinarian,172.2,7.3,24,155.5
2024-01-01,EMP0279,CL012,Client Service Representative,124.5,5.1,24,105.6
2024-01-01,EMP0280,CL012,Veterinary Technician,161.7,0.4,16,146.1
2024-01-01,EMP0281,CL012,Veterinarian,183.8,10.7,0,194.5
2024-01-01,EMP0282,CL012,Veterinary Assistant,181.4,7.0,0,188.4
2024-01-01,EMP0283,CL012,Veterinarian,174.7,0,8,166.7
2024-01-01,EMP0284,CL012,Client Service Representative,150.7,11.9,8,154.6
2024-01-01,EMP0285,CL012,Veterinarian,182.6,5.8,0,188.4
2024-01-01,EMP0286,CL012,Veterinarian,179.1,11.1,0,190.2
2024-01-01,EMP0287,CL012,Veterinary Assistant,165.9,0,8,157.9
2024-01-01,EMP0288,CL012,Veterinary Technician,105.5,2.5,24,84.0
2024-01-01,EMP0289,CL012,Veterinarian,170.7,9.2,0,179.9
2024-01-01,EMP0290,CL012,Client Service Representative,166.2,4.0,24,146.2
2024-01-01,EMP0291,CL012,Veterinarian,170.7,6.3,0,177.0
2024-01-01,EMP0292,CL012,Veterinary Assistant,136.6,0,8,128.6
2024-01-01,EMP0293,CL012,Veterinarian,163.3,3.4,0,166.7
2024-01-01,EMP0294,CL012,Client Service Representative,154.9,5.2,0,160.1
2024-01-01,EMP0295,CL012,Client Service Representative,180.6,1.9,8,174.5
2024-01-01,EMP0296,CL012,Veterinary Technician,181.4,4.4,0,185.8
2024-01-01,EMP0297,CL012,Veterinary Technician,103.4,2.4,0,105.8
2024-01-01,EMP0298,CL012,Veterinarian,173.5,4.8,0,178.3
2024-01-01,EMP0299,CL012,Veterinary Technician,168.3,5.3,0,173.6
2024-01-01,EMP0300,CL012,Veterinarian,166.9,0,0,166.9
2024-02-01,EMP0001,CL001,Veterinary Technician,168.2,6.4,16,158.6
2024-02-01,EMP0002,CL001,Practice Manager,125.4,0,8,117.4
2024-02-01,EMP0003,CL001,Practice Manager,147.7,0,8,139.7
2024-02-01,EMP0004,CL001,Veterinary Technician,146.6,10.2,0,156.8
2024-02-01,EMP0005,CL001,Veterinary Technician,170.6,9.8,0,180.4
2024-02-01,EMP0006,CL001,Veterinary Technician,174.5,2.1,0,176.6
2024-02-01,EMP0007,CL001,Veterinarian,173.0,3.7,0,176.7
2024-02-01,EMP0008,CL001,Veterinarian,176.4,1.9,0,178.3
2024-02-01,EMP0009,CL001,Veterinary Technician,158.9,0,8,150.9
2024-02-01,EMP0010,CL001,Veterinarian,188.2,3.5,8,183.7
2024-02-01,EMP0011,CL001,Veterinary Assistant,180.1,5.4,0,185.5
2024-02-01,EMP0012,CL001,Veterinary Technician,96.2,5.4,0,101.6
2024-02-01,EMP0013,CL001,Veterinary Technician,126.1,3.3,24,105.4
2024-02-01,EMP0014,CL001,Veterinarian,170.0,1.4,0,171.4
2024-02-01,EMP0015,CL001,Veterinarian,177.6,0.9,0,178.5
2024-02-01,EMP0016,CL001,Veterinarian,154.7,12.0,8,158.7
2024-02-01,EMP0017,CL001,Veterinary Assistant,147.7,0,8,139.7
2024-02-01,EMP0018,CL001,Practice Manager,110.4,0,8,102.4
2024-02-01,EMP0019,CL001,Veterinarian,170.8,5.9,8,168.7
2024-02-01,EMP0020,CL001,Veterinarian,192.9,3.8,8,188.7
2024-02-01,EMP0021,CL001,Veterinarian,181.5,10.3,8,183.8
2024-02-01,EMP0022,CL001,Client Service Representative,174.1,0,24,150.1
2024-02-01,EMP0023,CL001,Veterinary Technician,147.0,2.3,0,149.3
2024-02-01,EMP0024,CL001,Veterinary Assistant,186.5,3.7,8,182.2
2024-02-01,EMP0025,CL001,Veterinary Technician,173.9,9.6,0,183.5
2024-02-01,EMP0026,CL001,Veterinarian,170.4,7.5,0,177.9
2024-02-01,EMP0027,CL001,Veterinary Assistant,136.6,2.8,16,123.4
2024-02-01,EMP0028,CL001,Veterinary Technician,163.5,1.8,24,141.3
2024-02-01,EMP0029,CL001,Veterinarian,182.6,7.9,0,190.5
2024-02-01,EMP0030,CL002,Kennel Assistant,173.5,0,0,173.5
2024-02-01,EMP0031,CL002,Veterinarian,155.0,6.3,0,161.3
2024-02-01,EMP0032,CL002,Veterinarian,133.2,0,16,117.2
2024-02-01,EMP0033,CL002,Veterinarian,129.5,8.8,0,138.3
2024-02-01,EMP0034,CL002,Veterinarian,141.7,11.2,0,152.9
2024-02-01,EMP0035,CL002,Veterinarian,158.7,6.7,8,157.4
2024-02-01,EMP0036,CL002,Client Service Representative,180.2,0,0,180.2
2024-02-01,EMP0037,CL002,Veterinarian,135.6,9.5,24,121.1
2024-02-01,EMP0038,CL002,Client Service Representative,182.6,4.4,0,187.0
2024-02-01,EMP0039,CL002,Veterinary Assistant,175.8,5.2,0,181.0
2024-02-01,EMP0040,CL002,Veterinary Technician,106.5,4.2,0,110.7
2024-02-01,EMP0041,CL002,Veterinarian,170.1,8.8,16,162.9
2024-02-01,EMP0042,CL002,Veterinary Technician,173.2,3.4,0,176.6
2024-02-01,EMP0043,CL002,Veterinary Technician,97.6,10.2,24,83.8
2024-02-01,EMP0044,CL002,Veterinary Assistant,141.0,3.5,16,128.5
2024-02-01,EMP0045,CL002,Veterinarian,167.6,2.7,24,146.3
2024-02-01,EMP0046,CL002,Veterinary Technician,147.4,2.3,16,133.7
2024-02-01,EMP0047,CL002,Veterinary Assistant,168.2,0.0,0,168.2
2024-02-01,EMP0048,CL002,Kennel Assistant,177.7,0,8,169.7
2024-02-01,EMP0049,CL002,Client Service Representative,106.0,2.6,0,108.6
2024-02-01,EMP0050,CL002,Practice Manager,186.7,7.1,0,193.8
2024-02-01,EMP0051,CL003,Practice Manager,177.3,1.6,0,178.9
2024-02-01,EMP0052,CL003,Veterinary Technician,176.4,3.8,0,180.2
2024-02-01,EMP0053,CL003,Kennel Assistant,80.7,2.7,16,67.4
2024-02-01,EMP0054,CL003,Veterinarian,172.9,6.0,16,162.9
2024-02-01,EMP0055,CL003,Veterinary Assistant,124.0,0.3,0,124.3
2024-02-01,EMP0056,CL003,Client Service Representative,167.4,8.1,0,175.5
2024-02-01,EMP0057,CL003,Veterinarian,148.9,11.3,24,136.2
2024-02-01,EMP0058,CL003,Veterinary Assistant,106.4,3.2,0,109.6
