InvoiceID,AppointmentID,ClinicID,ClientID,PetID,InvoiceDate,Subtotal,TaxAmount,TotalAmount,AmountPaid,BalanceDue,PaymentStatus,PaymentMethod,InsuranceClaim
INV0000021,A0000036,CL004,C004005,P005971,2025-12-10,271.22,0.0,271.22,271.22,0.0,Paid,Online Payment,No
INV0000022,A0000037,CL005,C000928,P001385,2024-11-28,188.25,0.0,188.25,188.25,0.0,Paid,Cash,No
INV0000023,A0000038,CL003,C004360,P006513,2024-07-31,340.85,23.86,364.71,364.71,0.0,Paid,CareCredit,No
INV0000024,A0000039,CL010,C004903,P007336,2024-03-07,423.66,0.0,423.66,423.66,0.0,Paid,Debit Card,No
INV0000025,A0000040,CL008,C007818,P011768,2025-01-11,351.44,0.0,351.44,351.44,0.0,Paid,Pet Insurance,No
INV0000026,A0000042,CL003,C005623,P008420,2025-04-08,170.9,11.96,182.86,182.86,0.0,Paid,Online Payment,No
INV0000027,A0000043,CL007,C000931,P001389,2025-08-11,273.34,19.13,292.47,292.47,0.0,Paid,Debit Card,No
INV0000028,A0000044,CL006,C006008,P009039,2025-05-16,136.2,0.0,136.2,136.2,0.0,Paid,Pet Insurance,Yes
INV0000029,A0000045,CL008,C001756,P002654,2024-09-11,686.42,0.0,686.42,686.42,0.0,Paid,Debit Card,No
INV0000030,A0000047,CL006,C001519,P002273,2025-05-10,1215.43,0.0,1215.43,1215.43,0.0,Paid,CareCredit,No
INV0000031,A0000048,CL004,C006255,P009404,2024-04-03,97.21,0.0,97.21,97.21,0.0,Paid,Debit Card,No
INV0000032,A0000049,CL002,C005956,P008958,2025-02-06,141.11,0.0,141.11,141.11,0.0,Paid,Pet Insurance,Yes
INV0000033,A0000050,CL010,C004015,P005988,2024-02-27,235.7,0.0,235.7,235.7,0.0,Paid,Cash,No
INV0000034,A0000052,CL008,C005233,P007856,2024-04-19,120.34,0.0,120.34,120.34,0.0,Paid,Debit Card,No
INV0000035,A0000053,CL008,C005674,P008504,2025-11-27,250.1,0.0,250.1,250.1,0.0,Paid,Cash,No
INV0000036,A0000054,CL004,C005001,P007492,2024-09-05,2297.11,160.8,2457.91,2457.91,0.0,Paid,Cash,No
INV0000037,A0000055,CL012,C004422,P006604,2025-04-17,87.2,6.1,93.3,93.3,0.0,Paid,Credit Card,No
INV0000038,A0000056,CL009,C000965,P001434,2024-06-17,271.61,0.0,271.61,271.61,0.0,Paid,Pet Insurance,Yes
INV0000039,A0000057,CL009,C002584,P003907,2025-10-29,386.06,0.0,386.06,386.06,0.0,Paid,Online Payment,No
INV0000040,A0000058,CL003,C001358,P002034,2025-04-14,746.34,0.0,746.34,746.34,0.0,Paid,Cash,No
INV0000041,A0000061,CL012,C000075,P000111,2025-10-07,677.43,47.42,724.85,724.85,0.0,Paid,CareCredit,No
INV0000042,A0000062,CL012,C004775,P007136,2025-01-15,501.23,35.09,536.32,536.32,0.0,Paid,CareCredit,No
INV0000043,A0000064,CL009,C002957,P004458,2025-08-15,313.47,0.0,313.47,313.47,0.0,Paid,Pet Insurance,No
INV0000044,A0000065,CL005,C000470,P000694,2024-12-04,56.94,0.0,56.94,56.94,0.0,Paid,Online Payment,No
INV0000045,A0000066,CL004,C001210,P001821,2025-07-12,701.41,0.0,701.41,701.41,0.0,Paid,Cash,No
INV0000046,A0000069,CL001,C007981,P012012,2025-11-06,268.2,0.0,268.2,268.2,0.0,Paid,Credit Card,No
INV0000047,A0000070,CL006,C000711,P001050,2024-12-05,199.81,0.0,199.81,199.81,0.0,Paid,Debit Card,No
INV0000048,A0000071,CL002,C002582,P003905,2024-08-26,1742.16,0.0,1742.16,1742.16,0.0,Paid,Cash,No
INV0000049,A0000072,CL008,C007289,P010969,2024-01-22,799.19,0.0,799.19,799.19,0.0,Paid,Online Payment,No
INV0000050,A0000073,CL009,C003981,P005935,2025-07-01,635.46,0.0,635.46,635.46,0.0,Paid,Cash,No
INV0000051,A0000074,CL005,C006470,P009731,2024-10-30,265.73,0.0,265.73,0,265.73,Unpaid,,No
INV0000052,A0000075,CL005,C004549,P006800,2024-09-18,193.89,13.57,207.46,207.46,0.0,Paid,Online Payment,No
INV0000053,A0000077,CL010,C000429,P000635,2025-08-15,198.48,0.0,198.48,198.48,0.0,Paid,Online Payment,No
INV0000054,A0000078,CL009,C001496,P002235,2025-07-22,60.98,0.0,60.98,60.98,0.0,Paid,Debit Card,No
INV0000055,A0000079,CL001,C003057,P004599,2025-03-04,300.47,0.0,300.47,300.47,0.0,Paid,Cash,No
INV0000056,A0000080,CL006,C004673,P006982,2024-02-29,483.44,0.0,483.44,483.44,0.0,Paid,CareCredit,No
INV0000057,A0000085,CL006,C002753,P004145,2024-07-29,258.05,18.06,276.11,276.11,0.0,Paid,Cash,No
INV0000058,A0000088,CL007,C004085,P006087,2025-06-06,855.31,0.0,855.31,855.31,0.0,Paid,Pet Insurance,Yes
INV0000059,A0000089,CL009,C006740,P010134,2025-10-07,36.44,0.0,36.44,36.44,0.0,Paid,Pet Insurance,No
INV0000060,A0000090,CL009,C007150,P010774,2024-06-19,426.37,0.0,426.37,426.37,0.0,Paid,Credit Card,No
INV0000061,A0000091,CL003,C007922,P011921,2025-06-07,571.55,0.0,571.55,571.55,0.0,Paid,Credit Card,No
INV0000062,A0000093,CL006,C000216,P000312,2024-10-25,206.74,0.0,206.74,206.74,0.0,Paid,CareCredit,No
INV0000063,A0000096,CL002,C005158,P007747,2025-02-05,368.27,25.78,394.05,394.05,0.0,Paid,Cash,No
INV0000064,A0000098,CL003,C004787,P007152,2025-09-12,104.76,7.33,112.09,112.09,0.0,Paid,Pet Insurance,No
INV0000065,A0000100,CL002,C008073,P012161,2024-08-07,204.15,14.29,218.44,218.44,0.0,Paid,Online Payment,No
INV0000066,A0000101,CL003,C005100,P007658,2024-09-10,200.62,0.0,200.62,200.62,0.0,Paid,Cash,No
INV0000067,A0000102,CL005,C007357,P011065,2025-08-14,196.77,0.0,196.77,196.77,0.0,Paid,Debit Card,No
INV0000068,A0000103,CL003,C007837,P011794,2025-02-14,56.71,0.0,56.71,56.71,0.0,Paid,CareCredit,No
INV0000069,A0000104,CL003,C000428,P000631,2024-06-30,295.31,0.0,295.31,295.31,0.0,Paid,CareCredit,No
INV0000070,A0000105,CL004,C001552,P002324,2025-05-19,441.34,0.0,441.34,441.34,0.0,Paid,CareCredit,No
INV0000071,A0000106,CL011,C004630,P006916,2024-10-12,877.71,0.0,877.71,877.71,0.0,Paid,Online Payment,No
INV0000072,A0000107,CL005,C002144,P003231,2024-03-20,58.41,4.09,62.5,62.5,0.0,Paid,Online Payment,No
INV0000073,A0000108,CL003,C007185,P010826,2025-12-22,307.14,21.5,328.64,328.64,0.0,Paid,Online Payment,No
INV0000074,A0000109,CL007,C001617,P002423,2025-02-25,66.69,4.67,71.36,71.36,0.0,Paid,Pet Insurance,No
INV0000075,A0000110,CL004,C003210,P004818,2024-08-24,135.64,0.0,135.64,135.64,0.0,Paid,Cash,No
INV0000076,A0000112,CL009,C008422,P012673,2024-11-23,266.75,18.67,285.42,285.42,0.0,Paid,Debit Card,No
INV0000077,A0000113,CL011,C000579,P000847,2025-01-16,727.02,50.89,777.91,777.91,0.0,Paid,Cash,No
INV0000078,A0000114,CL008,C001307,P001956,2025-12-12,325.96,0.0,325.96,325.96,0.0,Paid,Debit Card,No
INV0000079,A0000115,CL004,C004453,P006652,2024-11-14,328.98,23.03,352.01,0,352.01,Unpaid,,No
INV0000080,A0000116,CL010,C001419,P002125,2025-10-23,513.18,35.92,549.1,549.1,0.0,Paid,Online Payment,No
INV0000081,A0000117,CL012,C001127,P001691,2024-04-09,206.77,0.0,206.77,206.77,0.0,Paid,Online Payment,No
INV0000082,A0000118,CL012,C006252,P009401,2025-03-15,1277.84,0.0,1277.84,1277.84,0.0,Paid,Pet Insurance,Yes
INV0000083,A0000119,CL008,C004370,P006528,2025-09-05,113.66,0.0,113.66,113.66,0.0,Paid,CareCredit,No
INV0000084,A0000120,CL005,C005144,P007726,2024-12-11,136.82,0.0,136.82,136.82,0.0,Paid,Debit Card,No
INV0000085,A0000121,CL006,C003010,P004537,2024-10-10,181.27,0.0,181.27,181.27,0.0,Paid,Credit Card,No
INV0000086,A0000122,CL002,C005956,P008961,2025-04-05,962.02,0.0,962.02,962.02,0.0,Paid,Pet Insurance,No
INV0000087,A0000123,CL012,C005506,P008255,2024-12-09,317.83,22.25,340.08,340.08,0.0,Paid,CareCredit,No
INV0000088,A0000124,CL007,C008130,P012244,2024-09-22,862.15,60.35,922.5,0,922.5,Unpaid,,No
INV0000089,A0000125,CL001,C000387,P000562,2025-12-26,1273.8,89.17,1362.97,1362.97,0.0,Paid,Online Payment,No
INV0000090,A0000127,CL005,C006725,P010112,2024-12-04,131.84,9.23,141.07,141.07,0.0,Paid,Cash,No
INV0000091,A0000129,CL010,C001868,P002805,2024-08-20,1810.3,126.72,1937.02,1937.02,0.0,Paid,Cash,No
INV0000092,A0000130,CL002,C006501,P009777,2025-01-08,1065.97,74.62,1140.59,1140.59,0.0,Paid,Cash,No
INV0000093,A0000131,CL007,C006557,P009862,2025-08-23,712.72,0.0,712.72,712.72,0.0,Paid,Debit Card,No
INV0000094,A0000132,CL012,C001436,P002151,2025-07-04,140.73,9.85,150.58,150.58,0.0,Paid,Pet Insurance,No
INV0000095,A0000133,CL009,C007889,P011875,2024-08-23,664.41,46.51,710.92,710.92,0.0,Paid,Debit Card,No
INV0000096,A0000134,CL001,C008368,P012593,2025-11-25,489.78,0.0,489.78,489.78,0.0,Paid,Cash,No
INV0000097,A0000135,CL004,C006330,P009520,2024-08-10,221.01,0.0,221.01,221.01,0.0,Paid,Credit Card,No
INV0000098,A0000138,CL004,C005475,P008206,2024-01-08,491.51,34.41,525.92,525.92,0.0,Paid,Pet Insurance,No
INV0000099,A0000139,CL007,C000970,P001442,2024-05-11,1011.72,0.0,1011.72,1011.72,0.0,Paid,Online Payment,No
INV0000100,A0000140,CL001,C006958,P010482,2024-01-05,161.39,0.0,161.39,161.39,0.0,Paid,CareCredit,No
INV0000101,A0000141,CL002,C001982,P002977,2025-02-05,194.69,0.0,194.69,194.69,0.0,Paid,Cash,No
INV0000102,A0000143,CL005,C004345,P006490,2024-12-12,273.87,0.0,273.87,0,273.87,Unpaid,,No
INV0000103,A0000144,CL004,C006004,P009031,2024-04-16,336.46,23.55,360.01,360.01,0.0,Paid,Online Payment,No
INV0000104,A0000145,CL012,C008408,P012649,2024-06-13,174.23,0.0,174.23,174.23,0.0,Paid,CareCredit,No
INV0000105,A0000147,CL006,C004725,P007068,2025-03-05,1098.48,0.0,1098.48,1098.48,0.0,Paid,Debit Card,No
INV0000106,A0000148,CL009,C005263,P007900,2024-10-17,204.65,14.33,218.98,218.98,0.0,Paid,Pet Insurance,No
INV0000107,A0000149,CL009,C006349,P009553,2025-01-20,534.58,0.0,534.58,534.58,0.0,Paid,Pet Insurance,No
INV0000108,A0000151,CL009,C000331,P000480,2024-03-30,181.57,0.0,181.57,0,181.57,Unpaid,,No
INV0000109,A0000152,CL012,C006881,P010360,2025-04-30,1395.73,0.0,1395.73,1395.73,0.0,Paid,CareCredit,No
INV0000110,A0000153,CL011,C002057,P003096,2025-02-01,82.08,0.0,82.08,82.08,0.0,Paid,Debit Card,No
INV0000111,A0000156,CL009,C003899,P005818,2025-06-27,207.48,0.0,207.48,207.48,0.0,Paid,CareCredit,No
INV0000112,A0000157,CL005,C000289,P000419,2024-01-28,953.11,0.0,953.11,953.11,0.0,Paid,Debit Card,No
INV0000113,A0000158,CL004,C001873,P002813,2025-05-02,403.75,0.0,403.75,201.17,202.58,Partially Paid,Debit Card,No
INV0000114,A0000159,CL008,C005894,P008862,2024-02-02,2052.76,0.0,2052.76,2052.76,0.0,Paid,Pet Insurance,No
INV0000115,A0000161,CL003,C005348,P008016,2024-11-20,1142.61,79.98,1222.59,1222.59,0.0,Paid,Cash,No
INV0000116,A0000162,CL008,C004434,P006621,2025-11-13,322.01,0.0,322.01,322.01,0.0,Paid,Cash,No
INV0000117,A0000164,CL002,C002759,P004159,2025-07-11,1100.86,77.06,1177.92,1177.92,0.0,Paid,Cash,No
INV0000118,A0000167,CL012,C003892,P005808,2024-01-06,86.79,6.08,92.87,92.87,0.0,Paid,Online Payment,No
INV0000119,A0000168,CL003,C000286,P000415,2025-11-28,380.05,26.6,406.65,406.65,0.0,Paid,Cash,No
INV0000120,A0000169,CL002,C002733,P004118,2025-09-25,766.29,53.64,819.93,819.93,0.0,Paid,Debit Card,No
INV0000121,A0000171,CL003,C002575,P003896,2025-08-04,208.8,0.0,208.8,208.8,0.0,Paid,Online Payment,No
INV0000122,A0000173,CL005,C000637,P000934,2024-04-23,70.05,0.0,70.05,70.05,0.0,Paid,Pet Insurance,Yes
INV0000123,A0000174,CL002,C005714,P008570,2024-09-16,341.79,0.0,341.79,341.79,0.0,Paid,Credit Card,No
INV0000124,A0000175,CL006,C007494,P011272,2024-06-04,263.89,18.47,282.36,282.36,0.0,Paid,Pet Insurance,No
INV0000125,A0000176,CL006,C003891,P005804,2025-09-18,932.1,0.0,932.1,932.1,0.0,Paid,Debit Card,No
INV0000126,A0000177,CL012,C004170,P006214,2024-04-09,93.46,0.0,93.46,93.46,0.0,Paid,Online Payment,No
INV0000127,A0000178,CL004,C007260,P010931,2024-08-15,305.04,0.0,305.04,305.04,0.0,Paid,Credit Card,No
INV0000128,A0000179,CL003,C002454,P003711,2025-05-15,1333.67,0.0,1333.67,1333.67,0.0,Paid,CareCredit,No
INV0000129,A0000182,CL005,C000768,P001147,2024-01-15,424.19,0.0,424.19,424.19,0.0,Paid,Pet Insurance,Yes
INV0000130,A0000183,CL004,C002694,P004066,2025-02-15,661.56,0.0,661.56,661.56,0.0,Paid,Credit Card,No
INV0000131,A0000184,CL010,C005458,P008185,2024-10-02,64.4,4.51,68.91,68.91,0.0,Paid,Online Payment,No
INV0000132,A0000185,CL009,C006439,P009685,2025-12-10,72.9,5.1,78.0,78.0,0.0,Paid,Online Payment,No
INV0000133,A0000188,CL006,C004536,P006781,2025-09-18,561.67,0.0,561.67,561.67,0.0,Paid,Online Payment,No
INV0000134,A0000189,CL011,C002767,P004169,2025-10-31,155.8,0.0,155.8,155.8,0.0,Paid,Credit Card,No
INV0000135,A0000190,CL006,C001913,P002877,2025-08-12,188.8,13.22,202.02,202.02,0.0,Paid,Credit Card,No
INV0000136,A0000191,CL007,C008427,P012684,2024-04-19,175.67,12.3,187.97,187.97,0.0,Paid,Pet Insurance,No
INV0000137,A0000194,CL005,C007465,P011230,2025-12-12,35.14,2.46,37.6,37.6,0.0,Paid,Debit Card,No
INV0000138,A0000195,CL008,C002629,P003970,2024-03-14,183.74,0.0,183.74,183.74,0.0,Paid,Credit Card,No
INV0000139,A0000197,CL002,C007967,P011988,2025-04-12,40.04,0.0,40.04,40.04,0.0,Paid,Online Payment,No
INV0000140,A0000198,CL008,C003192,P004791,2024-05-02,182.14,0.0,182.14,182.14,0.0,Paid,Online Payment,No
INV0000141,A0000199,CL008,C005156,P007744,2025-05-10,1230.66,0.0,1230.66,1230.66,0.0,Paid,Cash,No
INV0000142,A0000200,CL003,C000370,P000539,2024-12-03,306.87,0.0,306.87,185.62,121.25,Partially Paid,Online Payment,No
INV0000143,A0000201,CL002,C005513,P008266,2025-01-24,220.74,0.0,220.74,220.74,0.0,Paid,Debit Card,No
INV0000144,A0000202,CL004,C005587,P008366,2025-04-02,99.48,0.0,99.48,99.48,0.0,Paid,Credit Card,No
INV0000145,A0000203,CL005,C003539,P005296,2024-04-19,2199.05,0.0,2199.05,2199.05,0.0,Paid,Credit Card,No
INV0000146,A0000204,CL003,C005855,P008804,2025-07-24,202.31,0.0,202.31,202.31,0.0,Paid,Credit Card,No
INV0000147,A0000207,CL006,C005209,P007821,2024-08-28,39.72,0.0,39.72,39.72,0.0,Paid,Debit Card,No
INV0000148,A0000208,CL005,C000801,P001196,2025-05-29,176.17,12.33,188.5,188.5,0.0,Paid,Debit Card,No
INV0000149,A0000209,CL009,C000399,P000582,2025-08-07,1107.66,0.0,1107.66,1107.66,0.0,Paid,Credit Card,No
INV0000150,A0000212,CL004,C007777,P011702,2024-06-05,1454.25,101.8,1556.05,1556.05,0.0,Paid,Cash,No
INV0000151,A0000214,CL009,C003372,P005045,2024-05-04,230.22,0.0,230.22,230.22,0.0,Paid,Pet Insurance,No
INV0000152,A0000215,CL009,C007695,P011580,2024-03-15,182.87,12.8,195.67,195.67,0.0,Paid,CareCredit,No
INV0000153,A0000218,CL006,C006353,P009557,2025-08-01,210.95,0.0,210.95,210.95,0.0,Paid,CareCredit,No
INV0000154,A0000219,CL002,C004453,P006651,2024-11-20,204.57,0.0,204.57,204.57,0.0,Paid,Credit Card,No
INV0000155,A0000220,CL010,C008253,P012423,2025-02-24,145.78,0.0,145.78,145.78,0.0,Paid,Cash,No
INV0000156,A0000225,CL012,C007746,P011657,2024-07-18,292.41,0.0,292.41,292.41,0.0,Paid,Online Payment,No
INV0000157,A0000226,CL007,C003798,P005654,2024-10-22,80.05,0.0,80.05,80.05,0.0,Paid,Online Payment,No
INV0000158,A0000228,CL007,C007005,P010560,2024-03-09,233.17,0.0,233.17,233.17,0.0,Paid,CareCredit,No
INV0000159,A0000230,CL004,C002163,P003262,2024-04-08,1021.82,0.0,1021.82,1021.82,0.0,Paid,Cash,No
INV0000160,A0000231,CL002,C006268,P009422,2024-04-04,161.54,0.0,161.54,161.54,0.0,Paid,Debit Card,No
INV0000161,A0000232,CL008,C003439,P005151,2024-07-26,1488.96,104.23,1593.19,1593.19,0.0,Paid,Online Payment,No
INV0000162,A0000233,CL009,C006155,P009259,2025-08-18,261.54,0.0,261.54,0,261.54,Unpaid,,No
INV0000163,A0000234,CL009,C001914,P002881,2024-10-29,100.81,7.06,107.87,107.87,0.0,Paid,Cash,No
INV0000164,A0000235,CL009,C008177,P012318,2025-08-05,377.77,0.0,377.77,377.77,0.0,Paid,Debit Card,No
INV0000165,A0000236,CL007,C008493,P012779,2024-08-06,60.29,0.0,60.29,60.29,0.0,Paid,Pet Insurance,No
INV0000166,A0000237,CL009,C006663,P010016,2024-01-03,345.94,24.22,370.16,370.16,0.0,Paid,Credit Card,No
INV0000167,A0000239,CL005,C001559,P002332,2024-06-22,461.97,0.0,461.97,461.97,0.0,Paid,Pet Insurance,Yes
INV0000168,A0000240,CL011,C003025,P004557,2024-08-14,421.22,0.0,421.22,421.22,0.0,Paid,Credit Card,No
INV0000169,A0000241,CL012,C001450,P002174,2025-04-22,187.3,0.0,187.3,187.3,0.0,Paid,Cash,No
INV0000170,A0000242,CL007,C000613,P000894,2025-12-31,274.26,19.2,293.46,293.46,0.0,Paid,Debit Card,No
INV0000171,A0000243,CL010,C002683,P004048,2025-12-05,214.95,0.0,214.95,214.95,0.0,Paid,Cash,No
INV0000172,A0000245,CL011,C006140,P009237,2025-10-01,200.81,14.06,214.87,214.87,0.0,Paid,Debit Card,No
INV0000173,A0000246,CL006,C002158,P003253,2024-03-11,373.47,0.0,373.47,373.47,0.0,Paid,Online Payment,No
INV0000174,A0000247,CL002,C000076,P000112,2025-07-16,163.64,0.0,163.64,163.64,0.0,Paid,Credit Card,No
INV0000175,A0000249,CL009,C006631,P009961,2025-08-16,303.97,21.28,325.25,325.25,0.0,Paid,Online Payment,No
INV0000176,A0000250,CL010,C004117,P006135,2025-06-04,288.85,0.0,288.85,288.85,0.0,Paid,Pet Insurance,Yes
INV0000177,A0000252,CL002,C001884,P002829,2024-04-30,329.65,23.08,352.73,352.73,0.0,Paid,Debit Card,No
INV0000178,A0000253,CL007,C000129,P000192,2024-08-12,92.75,0.0,92.75,92.75,0.0,Paid,Online Payment,No
INV0000179,A0000254,CL006,C004793,P007163,2024-10-23,158.36,0.0,158.36,158.36,0.0,Paid,Cash,No
INV0000180,A0000255,CL003,C007991,P012026,2025-05-05,643.9,0.0,643.9,643.9,0.0,Paid,Cash,No
INV0000181,A0000257,CL008,C000754,P001122,2024-05-25,107.77,0.0,107.77,107.77,0.0,Paid,Pet Insurance,No
INV0000182,A0000258,CL007,C004988,P007472,2024-08-10,147.21,10.3,157.51,157.51,0.0,Paid,Debit Card,No
INV0000183,A0000259,CL005,C007081,P010672,2025-10-01,632.86,0.0,632.86,632.86,0.0,Paid,Pet Insurance,Yes
INV0000184,A0000260,CL010,C005955,P008957,2024-05-18,913.74,0.0,913.74,913.74,0.0,Paid,Online Payment,No
INV0000185,A0000263,CL006,C003572,P005340,2024-01-11,103.27,0.0,103.27,103.27,0.0,Paid,Online Payment,No
INV0000186,A0000264,CL008,C007116,P010721,2025-10-03,38.96,0.0,38.96,38.96,0.0,Paid,Debit Card,No
INV0000187,A0000265,CL003,C006425,P009668,2025-12-08,645.42,45.18,690.6,690.6,0.0,Paid,Credit Card,No
INV0000188,A0000266,CL004,C004427,P006610,2025-05-08,140.11,0.0,140.11,140.11,0.0,Paid,CareCredit,No
INV0000189,A0000268,CL007,C002935,P004416,2024-01-12,838.25,58.68,896.93,896.93,0.0,Paid,Credit Card,No
INV0000190,A0000269,CL012,C000288,P000417,2024-03-01,251.11,0.0,251.11,251.11,0.0,Paid,Debit Card,No
INV0000191,A0000270,CL003,C001389,P002081,2024-08-23,141.36,9.9,151.26,151.26,0.0,Paid,Cash,No
INV0000192,A0000271,CL002,C001628,P002438,2025-11-24,168.98,0.0,168.98,168.98,0.0,Paid,Online Payment,No
INV0000193,A0000272,CL010,C006566,P009875,2025-10-31,219.71,0.0,219.71,219.71,0.0,Paid,Credit Card,No
INV0000194,A0000273,CL001,C000681,P001004,2025-05-24,693.71,48.56,742.27,742.27,0.0,Paid,Pet Insurance,No
INV0000195,A0000274,CL001,C007498,P011276,2025-05-19,1663.62,0.0,1663.62,1663.62,0.0,Paid,Credit Card,No
INV0000196,A0000275,CL007,C001715,P002593,2024-02-16,899.22,0.0,899.22,899.22,0.0,Paid,CareCredit,No
INV0000197,A0000278,CL012,C004616,P006892,2025-03-04,1465.09,0.0,1465.09,1465.09,0.0,Paid,Pet Insurance,Yes
INV0000198,A0000279,CL011,C003475,P005209,2025-06-25,677.14,0.0,677.14,677.14,0.0,Paid,Credit Card,No
INV0000199,A0000281,CL001,C005200,P007810,2024-03-12,279.87,0.0,279.87,279.87,0.0,Paid,Debit Card,No
INV0000200,A0000282,CL006,C000754,P001123,2024-03-02,620.49,0.0,620.49,620.49,0.0,Paid,Pet Insurance,No
INV0000201,A0000285,CL009,C006088,P009156,2025-09-30,292.21,0.0,292.21,292.21,0.0,Paid,Pet Insurance,No
INV0000202,A0000286,CL010,C008347,P012560,2024-10-18,431.98,0.0,431.98,431.98,0.0,Paid,CareCredit,No
INV0000203,A0000287,CL011,C000101,P000149,2024-11-09,469.08,32.84,501.92,501.92,0.0,Paid,Credit Card,No
INV0000204,A0000288,CL010,C007836,P011793,2025-09-18,248.14,0.0,248.14,248.14,0.0,Paid,Debit Card,No
INV0000205,A0000290,CL001,C002816,P004236,2024-09-04,288.68,0.0,288.68,288.68,0.0,Paid,Online Payment,No
INV0000206,A0000291,CL007,C006763,P010170,2025-07-31,212.51,0.0,212.51,212.51,0.0,Paid,Pet Insurance,Yes
INV0000207,A0000293,CL011,C000002,P000004,2025-07-06,162.08,11.35,173.43,173.43,0.0,Paid,Debit Card,No
INV0000208,A0000294,CL008,C007355,P011062,2024-08-19,1359.85,0.0,1359.85,1359.85,0.0,Paid,Online Payment,No
INV0000209,A0000295,CL006,C004969,P007446,2025-02-11,1384.23,0.0,1384.23,1384.23,0.0,Paid,Credit Card,No
INV0000210,A0000296,CL006,C007280,P010958,2024-06-10,101.91,0.0,101.91,101.91,0.0,Paid,CareCredit,No
INV0000211,A0000298,CL004,C008354,P012572,2024-11-29,38.33,2.68,41.01,41.01,0.0,Paid,Online Payment,No
INV0000212,A0000300,CL008,C004796,P007170,2025-04-25,1345.17,0.0,1345.17,1345.17,0.0,Paid,Online Payment,No
INV0000213,A0000301,CL010,C006130,P009222,2025-01-30,187.25,0.0,187.25,187.25,0.0,Paid,Debit Card,No
INV0000214,A0000302,CL001,C007887,P011870,2024-10-19,1837.43,128.62,1966.05,1966.05,0.0,Paid,Credit Card,No
INV0000215,A0000303,CL008,C002566,P003881,2025-11-19,144.49,10.11,154.6,154.6,0.0,Paid,Pet Insurance,Yes
INV0000216,A0000306,CL006,C008192,P012340,2025-11-18,155.87,10.91,166.78,166.78,0.0,Paid,Credit Card,No
INV0000217,A0000307,CL012,C002937,P004419,2024-06-01,94.4,6.61,101.01,101.01,0.0,Paid,Credit Card,No
INV0000218,A0000308,CL011,C007463,P011228,2024-04-28,313.99,0.0,313.99,313.99,0.0,Paid,Cash,No
INV0000219,A0000309,CL012,C007745,P011656,2025-04-05,463.77,0.0,463.77,463.77,0.0,Paid,Credit Card,No
INV0000220,A0000310,CL004,C000348,P000507,2024-07-02,142.24,9.96,152.2,152.2,0.0,Paid,CareCredit,No
INV0000221,A0000311,CL011,C003053,P004595,2025-03-20,92.32,0.0,92.32,92.32,0.0,Paid,Credit Card,No
