InvoiceLineID,InvoiceID,AppointmentID,ServiceID,Quantity,UnitPrice,DiscountAmount,LineTotal,RevenueCategory
IL00000061,INV0000022,A0000037,SV002,1,94.59,4.73,89.86,Medical
IL00000062,INV0000022,A0000037,SV034,1,61.11,0.0,61.11,Rehabilitation
IL00000063,INV0000023,A0000038,SV006,1,36.95,0.0,36.95,Preventive
IL00000064,INV0000023,A0000038,SV004,1,119.53,0.0,119.53,Preventive
IL00000065,INV0000023,A0000038,SV001,1,70.09,0.0,70.09,Preventive
IL00000066,INV0000023,A0000038,SV005,1,114.28,0.0,114.28,Preventive
IL00000067,INV0000024,A0000039,SV011,1,227.96,11.4,216.56,Imaging
IL00000068,INV0000024,A0000039,SV026,1,56.89,0.0,56.89,Diagnostics
IL00000069,INV0000024,A0000039,SV022,1,150.21,0.0,150.21,Treatment
IL00000070,INV0000025,A0000040,SV001,1,78.77,0.0,78.77,Preventive
IL00000071,INV0000025,A0000040,SV004,1,128.06,0.0,128.06,Preventive
IL00000072,INV0000025,A0000040,SV005,1,112.87,0.0,112.87,Preventive
IL00000073,INV0000025,A0000040,SV006,1,33.41,1.67,31.74,Preventive
IL00000074,INV0000026,A0000042,SV025,1,26.32,0.0,26.32,Grooming
IL00000075,INV0000026,A0000042,SV005,1,113.08,0.0,113.08,Preventive
IL00000076,INV0000026,A0000042,SV006,1,33.16,1.66,31.5,Preventive
IL00000077,INV0000027,A0000043,SV004,1,113.27,0.0,113.27,Preventive
IL00000078,INV0000027,A0000043,SV001,1,72.53,3.63,68.9,Preventive
IL00000079,INV0000027,A0000043,SV005,1,101.3,10.13,91.17,Preventive
IL00000080,INV0000028,A0000044,SV002,1,104.14,5.21,98.93,Medical
IL00000081,INV0000028,A0000044,SV029,1,39.23,1.96,37.27,Treatment
IL00000082,INV0000029,A0000045,SV009,1,188.98,18.9,170.08,Diagnostics
IL00000083,INV0000029,A0000045,SV040,1,313.5,15.68,297.82,Specialty
IL00000084,INV0000029,A0000045,SV011,1,242.8,24.28,218.52,Imaging
IL00000085,INV0000030,A0000047,SV012,1,420.03,0.0,420.03,Imaging
IL00000086,INV0000030,A0000047,SV040,1,309.33,15.47,293.86,Specialty
IL00000087,INV0000030,A0000047,SV037,1,246.85,0.0,246.85,Specialty
IL00000088,INV0000030,A0000047,SV039,1,282.99,28.3,254.69,Specialty
IL00000089,INV0000031,A0000048,SV027,1,63.48,0.0,63.48,Diagnostics
IL00000090,INV0000031,A0000048,SV029,1,35.51,1.78,33.73,Treatment
IL00000091,INV0000032,A0000049,SV006,1,35.79,3.58,32.21,Preventive
IL00000092,INV0000032,A0000049,SV005,1,108.9,0.0,108.9,Preventive
IL00000093,INV0000033,A0000050,SV004,1,112.7,0.0,112.7,Preventive
IL00000094,INV0000033,A0000050,SV008,1,43.01,4.3,38.71,Diagnostics
IL00000095,INV0000033,A0000050,SV025,1,25.06,0.0,25.06,Grooming
IL00000096,INV0000033,A0000050,SV024,1,59.23,0.0,59.23,Preventive
IL00000097,INV0000034,A0000052,SV007,1,48.64,0.0,48.64,Diagnostics
IL00000098,INV0000034,A0000052,SV008,1,45.9,0.0,45.9,Diagnostics
IL00000099,INV0000034,A0000052,SV025,1,25.8,0.0,25.8,Grooming
IL00000100,INV0000035,A0000053,SV005,1,97.32,4.87,92.45,Preventive
IL00000101,INV0000035,A0000053,SV004,1,125.38,6.27,119.11,Preventive
IL00000102,INV0000035,A0000053,SV006,1,38.54,0.0,38.54,Preventive
IL00000103,INV0000036,A0000054,SV018,1,273.27,0.0,273.27,Surgery
IL00000104,INV0000036,A0000054,SV023,1,368.33,0.0,368.33,Hospitalization
IL00000105,INV0000036,A0000054,SV016,1,490.6,49.06,441.54,Surgery
IL00000106,INV0000036,A0000054,SV017,1,431.13,0.0,431.13,Surgery
IL00000107,INV0000036,A0000054,SV020,1,782.84,0.0,782.84,Surgery
IL00000108,INV0000037,A0000055,SV002,1,96.89,9.69,87.2,Medical
IL00000109,INV0000038,A0000056,SV005,1,113.87,5.69,108.18,Preventive
IL00000110,INV0000038,A0000056,SV006,1,34.75,0.0,34.75,Preventive
IL00000111,INV0000038,A0000056,SV004,1,128.68,0.0,128.68,Preventive
IL00000112,INV0000039,A0000057,SV022,1,146.62,7.33,139.29,Treatment
IL00000113,INV0000039,A0000057,SV029,1,37.02,0.0,37.02,Treatment
IL00000114,INV0000039,A0000057,SV011,1,209.75,0.0,209.75,Imaging
IL00000115,INV0000040,A0000058,SV009,1,188.85,0.0,188.85,Diagnostics
IL00000116,INV0000040,A0000058,SV011,1,236.12,0.0,236.12,Imaging
IL00000117,INV0000040,A0000058,SV040,1,321.37,0.0,321.37,Specialty
IL00000118,INV0000041,A0000061,SV023,1,360.18,36.02,324.16,Hospitalization
IL00000119,INV0000041,A0000061,SV009,1,203.09,0.0,203.09,Diagnostics
IL00000120,INV0000041,A0000061,SV003,1,158.08,7.9,150.18,Emergency
IL00000121,INV0000042,A0000062,SV015,1,355.05,0.0,355.05,Dental
IL00000122,INV0000042,A0000062,SV022,1,146.18,0.0,146.18,Treatment
IL00000123,INV0000043,A0000064,SV026,1,57.98,0.0,57.98,Diagnostics
IL00000124,INV0000043,A0000064,SV011,1,211.28,21.13,190.15,Imaging
IL00000125,INV0000043,A0000064,SV010,1,68.78,3.44,65.34,Diagnostics
IL00000126,INV0000044,A0000065,SV006,1,34.44,0.0,34.44,Preventive
IL00000127,INV0000044,A0000065,SV025,1,23.68,1.18,22.5,Grooming
IL00000128,INV0000045,A0000066,SV018,1,315.83,15.79,300.04,Surgery
IL00000129,INV0000045,A0000066,SV017,1,422.49,21.12,401.37,Surgery
IL00000130,INV0000046,A0000069,SV009,1,177.79,8.89,168.9,Diagnostics
IL00000131,INV0000046,A0000069,SV029,1,40.06,0.0,40.06,Treatment
IL00000132,INV0000046,A0000069,SV026,1,59.24,0.0,59.24,Diagnostics
IL00000133,INV0000047,A0000070,SV002,1,96.69,0.0,96.69,Medical
IL00000134,INV0000047,A0000070,SV034,1,67.93,0.0,67.93,Rehabilitation
IL00000135,INV0000047,A0000070,SV029,1,35.19,0.0,35.19,Treatment
IL00000136,INV0000048,A0000071,SV023,1,381.03,19.05,361.98,Hospitalization
IL00000137,INV0000048,A0000071,SV018,1,310.25,15.51,294.74,Surgery
IL00000138,INV0000048,A0000071,SV017,1,393.5,39.35,354.15,Surgery
IL00000139,INV0000048,A0000071,SV020,1,769.78,38.49,731.29,Surgery
IL00000140,INV0000049,A0000072,SV017,1,417.5,0.0,417.5,Surgery
IL00000141,INV0000049,A0000072,SV023,1,381.69,0.0,381.69,Hospitalization
IL00000142,INV0000050,A0000073,SV009,1,190.39,0.0,190.39,Diagnostics
IL00000143,INV0000050,A0000073,SV021,1,468.5,23.43,445.07,Emergency
IL00000144,INV0000051,A0000074,SV006,1,35.52,0.0,35.52,Preventive
IL00000145,INV0000051,A0000074,SV005,1,101.45,0.0,101.45,Preventive
IL00000146,INV0000051,A0000074,SV004,1,128.76,0.0,128.76,Preventive
IL00000147,INV0000052,A0000075,SV006,1,33.18,0.0,33.18,Preventive
IL00000148,INV0000052,A0000075,SV001,1,77.2,3.86,73.34,Preventive
IL00000149,INV0000052,A0000075,SV005,1,97.08,9.71,87.37,Preventive
IL00000150,INV0000053,A0000077,SV005,1,115.6,11.56,104.04,Preventive
IL00000151,INV0000053,A0000077,SV006,1,32.24,0.0,32.24,Preventive
IL00000152,INV0000053,A0000077,SV001,1,69.11,6.91,62.2,Preventive
IL00000153,INV0000054,A0000078,SV010,1,60.98,0.0,60.98,Diagnostics
IL00000154,INV0000055,A0000079,SV024,1,53.97,5.4,48.57,Preventive
IL00000155,INV0000055,A0000079,SV007,1,44.69,0.0,44.69,Diagnostics
IL00000156,INV0000055,A0000079,SV004,1,109.43,5.47,103.96,Preventive
IL00000157,INV0000055,A0000079,SV005,1,103.25,0.0,103.25,Preventive
IL00000158,INV0000056,A0000080,SV022,1,134.29,0.0,134.29,Treatment
IL00000159,INV0000056,A0000080,SV015,1,349.15,0.0,349.15,Dental
IL00000160,INV0000057,A0000085,SV005,1,102.36,0.0,102.36,Preventive
IL00000161,INV0000057,A0000085,SV004,1,127.65,6.38,121.27,Preventive
IL00000162,INV0000057,A0000085,SV006,1,34.42,0.0,34.42,Preventive
IL00000163,INV0000058,A0000088,SV016,1,524.89,0.0,524.89,Surgery
IL00000164,INV0000058,A0000088,SV023,1,367.13,36.71,330.42,Hospitalization
IL00000165,INV0000059,A0000089,SV006,1,36.44,0.0,36.44,Preventive
IL00000166,INV0000060,A0000090,SV009,1,199.49,0.0,199.49,Diagnostics
IL00000167,INV0000060,A0000090,SV011,1,226.88,0.0,226.88,Imaging
IL00000168,INV0000061,A0000091,SV011,1,227.1,0.0,227.1,Imaging
IL00000169,INV0000061,A0000091,SV022,1,156.22,7.81,148.41,Treatment
IL00000170,INV0000061,A0000091,SV009,1,196.04,0.0,196.04,Diagnostics
IL00000171,INV0000062,A0000093,SV006,1,32.43,1.62,30.81,Preventive
IL00000172,INV0000062,A0000093,SV001,1,69.06,6.91,62.15,Preventive
IL00000173,INV0000062,A0000093,SV004,1,113.78,0.0,113.78,Preventive
IL00000174,INV0000063,A0000096,SV023,1,368.27,0.0,368.27,Hospitalization
IL00000175,INV0000064,A0000098,SV004,1,110.27,5.51,104.76,Preventive
IL00000176,INV0000065,A0000100,SV007,1,45.02,0.0,45.02,Diagnostics
IL00000177,INV0000065,A0000100,SV004,1,117.54,11.75,105.79,Preventive
IL00000178,INV0000065,A0000100,SV024,1,53.34,0.0,53.34,Preventive
IL00000179,INV0000066,A0000101,SV005,1,99.21,0.0,99.21,Preventive
IL00000180,INV0000066,A0000101,SV024,1,60.65,0.0,60.65,Preventive
IL00000181,INV0000066,A0000101,SV008,1,45.29,4.53,40.76,Diagnostics
IL00000182,INV0000067,A0000102,SV004,1,117.16,0.0,117.16,Preventive
IL00000183,INV0000067,A0000102,SV001,1,79.61,0.0,79.61,Preventive
IL00000184,INV0000068,A0000103,SV024,1,56.71,0.0,56.71,Preventive
IL00000185,INV0000069,A0000104,SV009,1,198.89,0.0,198.89,Diagnostics
IL00000186,INV0000069,A0000104,SV002,1,101.5,5.08,96.42,Medical
IL00000187,INV0000070,A0000105,SV009,1,190.34,9.52,180.82,Diagnostics
IL00000188,INV0000070,A0000105,SV037,1,260.52,0.0,260.52,Specialty
IL00000189,INV0000071,A0000106,SV013,1,568.72,28.44,540.28,Dental
IL00000190,INV0000071,A0000106,SV009,1,193.13,0.0,193.13,Diagnostics
IL00000191,INV0000071,A0000106,SV014,1,151.89,7.59,144.3,Dental
IL00000192,INV0000072,A0000107,SV010,1,61.48,3.07,58.41,Diagnostics
IL00000193,INV0000073,A0000108,SV027,1,63.73,0.0,63.73,Diagnostics
IL00000194,INV0000073,A0000108,SV009,1,180.29,0.0,180.29,Diagnostics
IL00000195,INV0000073,A0000108,SV010,1,70.13,7.01,63.12,Diagnostics
IL00000196,INV0000074,A0000109,SV001,1,74.1,7.41,66.69,Preventive
IL00000197,INV0000075,A0000110,SV004,1,108.33,5.42,102.91,Preventive
IL00000198,INV0000075,A0000110,SV006,1,32.73,0.0,32.73,Preventive
IL00000199,INV0000076,A0000112,SV008,1,39.06,3.91,35.15,Diagnostics
IL00000200,INV0000076,A0000112,SV005,1,109.04,0.0,109.04,Preventive
IL00000201,INV0000076,A0000112,SV007,1,45.65,0.0,45.65,Diagnostics
IL00000202,INV0000076,A0000112,SV001,1,76.91,0.0,76.91,Preventive
IL00000203,INV0000077,A0000113,SV037,1,221.43,0.0,221.43,Specialty
IL00000204,INV0000077,A0000113,SV040,1,285.25,0.0,285.25,Specialty
IL00000205,INV0000077,A0000113,SV011,1,220.34,0.0,220.34,Imaging
IL00000206,INV0000078,A0000114,SV022,1,156.52,15.65,140.87,Treatment
IL00000207,INV0000078,A0000114,SV009,1,185.09,0.0,185.09,Diagnostics
IL00000208,INV0000079,A0000115,SV004,1,109.2,0.0,109.2,Preventive
IL00000209,INV0000079,A0000115,SV005,1,106.13,0.0,106.13,Preventive
IL00000210,INV0000079,A0000115,SV001,1,74.75,0.0,74.75,Preventive
IL00000211,INV0000079,A0000115,SV006,1,38.9,0.0,38.9,Preventive
IL00000212,INV0000080,A0000116,SV009,1,192.73,0.0,192.73,Diagnostics
IL00000213,INV0000080,A0000116,SV015,1,356.06,35.61,320.45,Dental
IL00000214,INV0000081,A0000117,SV006,1,38.84,0.0,38.84,Preventive
IL00000215,INV0000081,A0000117,SV001,1,70.86,0.0,70.86,Preventive
IL00000216,INV0000081,A0000117,SV005,1,97.07,0.0,97.07,Preventive
IL00000217,INV0000082,A0000118,SV014,1,169.78,0.0,169.78,Dental
IL00000218,INV0000082,A0000118,SV009,1,188.81,9.44,179.37,Diagnostics
IL00000219,INV0000082,A0000118,SV022,1,154.31,15.43,138.88,Treatment
IL00000220,INV0000082,A0000118,SV013,1,515.98,0.0,515.98,Dental
IL00000221,INV0000082,A0000118,SV015,1,304.26,30.43,273.83,Dental
IL00000222,INV0000083,A0000119,SV006,1,35.14,0.0,35.14,Preventive
IL00000223,INV0000083,A0000119,SV001,1,78.52,0.0,78.52,Preventive
IL00000224,INV0000084,A0000120,SV006,1,37.72,0.0,37.72,Preventive
IL00000225,INV0000084,A0000120,SV005,1,99.1,0.0,99.1,Preventive
IL00000226,INV0000085,A0000121,SV009,1,181.27,0.0,181.27,Diagnostics
IL00000227,INV0000086,A0000122,SV039,1,253.0,25.3,227.7,Specialty
IL00000228,INV0000086,A0000122,SV040,1,296.4,0.0,296.4,Specialty
IL00000229,INV0000086,A0000122,SV012,1,437.92,0.0,437.92,Imaging
IL00000230,INV0000087,A0000123,SV006,1,35.54,0.0,35.54,Preventive
IL00000231,INV0000087,A0000123,SV001,1,69.85,0.0,69.85,Preventive
IL00000232,INV0000087,A0000123,SV004,1,117.12,5.86,111.26,Preventive
IL00000233,INV0000087,A0000123,SV005,1,101.18,0.0,101.18,Preventive
IL00000234,INV0000088,A0000124,SV009,1,206.03,0.0,206.03,Diagnostics
IL00000235,INV0000088,A0000124,SV022,1,154.53,0.0,154.53,Treatment
IL00000236,INV0000088,A0000124,SV013,1,501.59,0.0,501.59,Dental
IL00000237,INV0000089,A0000125,SV011,1,227.59,0.0,227.59,Imaging
IL00000238,INV0000089,A0000125,SV039,1,259.37,0.0,259.37,Specialty
IL00000239,INV0000089,A0000125,SV038,1,252.57,0.0,252.57,Specialty
IL00000240,INV0000089,A0000125,SV040,1,303.3,0.0,303.3,Specialty
IL00000241,INV0000089,A0000125,SV037,1,230.97,0.0,230.97,Specialty
IL00000242,INV0000090,A0000127,SV010,1,65.43,0.0,65.43,Diagnostics
IL00000243,INV0000090,A0000127,SV027,1,66.41,0.0,66.41,Diagnostics
IL00000244,INV0000091,A0000129,SV020,1,725.69,0.0,725.69,Surgery
IL00000245,INV0000091,A0000129,SV009,1,196.21,0.0,196.21,Diagnostics
IL00000246,INV0000091,A0000129,SV023,1,408.44,20.42,388.02,Hospitalization
IL00000247,INV0000091,A0000129,SV016,1,500.38,0.0,500.38,Surgery
IL00000248,INV0000092,A0000130,SV011,1,241.01,0.0,241.01,Imaging
IL00000249,INV0000092,A0000130,SV023,1,365.06,36.51,328.55,Hospitalization
IL00000250,INV0000092,A0000130,SV021,1,496.41,0.0,496.41,Emergency
IL00000251,INV0000093,A0000131,SV019,1,222.62,0.0,222.62,Surgery
IL00000252,INV0000093,A0000131,SV023,1,373.23,37.32,335.91,Hospitalization
IL00000253,INV0000093,A0000131,SV022,1,162.31,8.12,154.19,Treatment
IL00000254,INV0000094,A0000132,SV006,1,34.72,3.47,31.25,Preventive
IL00000255,INV0000094,A0000132,SV005,1,109.48,0.0,109.48,Preventive
IL00000256,INV0000095,A0000133,SV016,1,460.81,46.08,414.73,Surgery
IL00000257,INV0000095,A0000133,SV019,1,249.68,0.0,249.68,Surgery
IL00000258,INV0000096,A0000134,SV002,1,94.11,0.0,94.11,Medical
IL00000259,INV0000096,A0000134,SV022,1,149.96,0.0,149.96,Treatment
IL00000260,INV0000096,A0000134,SV029,1,39.36,0.0,39.36,Treatment
IL00000261,INV0000096,A0000134,SV011,1,217.21,10.86,206.35,Imaging
IL00000262,INV0000097,A0000135,SV005,1,99.83,0.0,99.83,Preventive
IL00000263,INV0000097,A0000135,SV024,1,53.31,0.0,53.31,Preventive
IL00000264,INV0000097,A0000135,SV001,1,71.44,3.57,67.87,Preventive
IL00000265,INV0000098,A0000138,SV018,1,276.99,13.85,263.14,Surgery
IL00000266,INV0000098,A0000138,SV019,1,228.37,0.0,228.37,Surgery
IL00000267,INV0000099,A0000139,SV013,1,533.85,0.0,533.85,Dental
IL00000268,INV0000099,A0000139,SV015,1,312.63,0.0,312.63,Dental
IL00000269,INV0000099,A0000139,SV009,1,173.94,8.7,165.24,Diagnostics
IL00000270,INV0000100,A0000140,SV029,1,41.08,2.05,39.03,Treatment
IL00000271,INV0000100,A0000140,SV027,1,57.32,0.0,57.32,Diagnostics
IL00000272,INV0000100,A0000140,SV010,1,65.04,0.0,65.04,Diagnostics
IL00000273,INV0000101,A0000141,SV007,1,47.2,4.72,42.48,Diagnostics
IL00000274,INV0000101,A0000141,SV005,1,99.31,0.0,99.31,Preventive
IL00000275,INV0000101,A0000141,SV024,1,52.9,0.0,52.9,Preventive
IL00000276,INV0000102,A0000143,SV004,1,111.93,11.19,100.74,Preventive
IL00000277,INV0000102,A0000143,SV008,1,46.94,0.0,46.94,Diagnostics
IL00000278,INV0000102,A0000143,SV001,1,76.61,0.0,76.61,Preventive
IL00000279,INV0000102,A0000143,SV007,1,52.19,2.61,49.58,Diagnostics
IL00000280,INV0000103,A0000144,SV024,1,61.56,6.16,55.4,Preventive
IL00000281,INV0000103,A0000144,SV025,1,23.45,1.17,22.28,Grooming
IL00000282,INV0000103,A0000144,SV006,1,39.13,1.96,37.17,Preventive
IL00000283,INV0000103,A0000144,SV005,1,99.5,0.0,99.5,Preventive
IL00000284,INV0000103,A0000144,SV004,1,122.11,0.0,122.11,Preventive
IL00000285,INV0000104,A0000145,SV027,1,58.15,0.0,58.15,Diagnostics
IL00000286,INV0000104,A0000145,SV010,1,62.12,6.21,55.91,Diagnostics
IL00000287,INV0000104,A0000145,SV026,1,60.17,0.0,60.17,Diagnostics
IL00000288,INV0000105,A0000147,SV012,1,396.63,0.0,396.63,Imaging
IL00000289,INV0000105,A0000147,SV037,1,232.79,23.28,209.51,Specialty
IL00000290,INV0000105,A0000147,SV011,1,231.78,23.18,208.6,Imaging
IL00000291,INV0000105,A0000147,SV040,1,315.27,31.53,283.74,Specialty
IL00000292,INV0000106,A0000148,SV038,1,227.39,22.74,204.65,Specialty
IL00000293,INV0000107,A0000149,SV038,1,229.96,0.0,229.96,Specialty
IL00000294,INV0000107,A0000149,SV039,1,304.62,0.0,304.62,Specialty
IL00000295,INV0000108,A0000151,SV006,1,34.16,0.0,34.16,Preventive
IL00000296,INV0000108,A0000151,SV008,1,39.95,0.0,39.95,Diagnostics
IL00000297,INV0000108,A0000151,SV005,1,107.46,0.0,107.46,Preventive
IL00000298,INV0000109,A0000152,SV022,1,138.52,13.85,124.67,Treatment
IL00000299,INV0000109,A0000152,SV014,1,153.93,7.7,146.23,Dental
IL00000300,INV0000109,A0000152,SV015,1,350.17,0.0,350.17,Dental
IL00000301,INV0000109,A0000152,SV013,1,574.55,0.0,574.55,Dental
IL00000302,INV0000109,A0000152,SV009,1,200.11,0.0,200.11,Diagnostics
IL00000303,INV0000110,A0000153,SV006,1,35.84,1.79,34.05,Preventive
IL00000304,INV0000110,A0000153,SV007,1,48.03,0.0,48.03,Diagnostics
IL00000305,INV0000111,A0000156,SV029,1,40.87,2.04,38.83,Treatment
IL00000306,INV0000111,A0000156,SV034,1,71.0,0.0,71.0,Rehabilitation
IL00000307,INV0000111,A0000156,SV002,1,102.79,5.14,97.65,Medical
IL00000308,INV0000112,A0000157,SV014,1,179.94,17.99,161.95,Dental
IL00000309,INV0000112,A0000157,SV013,1,527.61,26.38,501.23,Dental
IL00000310,INV0000112,A0000157,SV015,1,322.14,32.21,289.93,Dental
IL00000311,INV0000113,A0000158,SV026,1,58.22,0.0,58.22,Diagnostics
IL00000312,INV0000113,A0000158,SV022,1,144.55,0.0,144.55,Treatment
IL00000313,INV0000113,A0000158,SV009,1,200.98,0.0,200.98,Diagnostics
IL00000314,INV0000114,A0000159,SV019,1,242.96,0.0,242.96,Surgery
IL00000315,INV0000114,A0000159,SV017,1,384.55,0.0,384.55,Surgery
IL00000316,INV0000114,A0000159,SV023,1,399.95,0.0,399.95,Hospitalization
IL00000317,INV0000114,A0000159,SV018,1,298.22,0.0,298.22,Surgery
IL00000318,INV0000114,A0000159,SV020,1,765.35,38.27,727.08,Surgery
IL00000319,INV0000115,A0000161,SV040,1,300.9,0.0,300.9,Specialty
IL00000320,INV0000115,A0000161,SV039,1,279.23,0.0,279.23,Specialty
IL00000321,INV0000115,A0000161,SV009,1,191.91,19.19,172.72,Diagnostics
IL00000322,INV0000115,A0000161,SV012,1,410.27,20.51,389.76,Imaging
IL00000323,INV0000116,A0000162,SV022,1,134.11,0.0,134.11,Treatment
IL00000324,INV0000116,A0000162,SV009,1,187.9,0.0,187.9,Diagnostics
IL00000325,INV0000117,A0000164,SV012,1,456.34,45.63,410.71,Imaging
IL00000326,INV0000117,A0000164,SV037,1,241.86,0.0,241.86,Specialty
IL00000327,INV0000117,A0000164,SV011,1,214.31,21.43,192.88,Imaging
IL00000328,INV0000117,A0000164,SV038,1,255.41,0.0,255.41,Specialty
IL00000329,INV0000118,A0000167,SV024,1,55.4,0.0,55.4,Preventive
IL00000330,INV0000118,A0000167,SV006,1,33.04,1.65,31.39,Preventive
IL00000331,INV0000119,A0000168,SV011,1,244.28,24.43,219.85,Imaging
IL00000332,INV0000119,A0000168,SV022,1,160.2,0.0,160.2,Treatment
IL00000333,INV0000120,A0000169,SV029,1,38.29,1.91,36.38,Treatment
IL00000334,INV0000120,A0000169,SV023,1,382.64,38.26,344.38,Hospitalization
IL00000335,INV0000120,A0000169,SV022,1,154.92,7.75,147.17,Treatment
IL00000336,INV0000120,A0000169,SV011,1,238.36,0.0,238.36,Imaging
IL00000337,INV0000121,A0000171,SV005,1,101.71,5.09,96.62,Preventive
IL00000338,INV0000121,A0000171,SV006,1,38.0,0.0,38.0,Preventive
IL00000339,INV0000121,A0000171,SV001,1,78.08,3.9,74.18,Preventive
IL00000340,INV0000122,A0000173,SV001,1,73.74,3.69,70.05,Preventive
IL00000341,INV0000123,A0000174,SV004,1,113.32,0.0,113.32,Preventive
IL00000342,INV0000123,A0000174,SV024,1,60.01,0.0,60.01,Preventive
IL00000343,INV0000123,A0000174,SV007,1,51.99,0.0,51.99,Diagnostics
