PetID,ClientID,PetName,Species,Breed,Sex,SpayedNeutered,DateOfBirth,WeightLbs,InsuranceStatus,ChronicCondition,PetStatus
P000043,C000029,Scout,Dog,Yorkshire Terrier,Male,Yes,2025-09-06,94.5,Not Insured,Allergies,Active
P000044,C000030,Poppy,Cat,Domestic Longhair,Male,Yes,2024-06-03,7.2,Not Insured,None,Active
P000045,C000030,Tucker,Dog,Chihuahua,Male,Yes,2020-01-12,18.1,Not Insured,None,Active
P000046,C000030,Duke,Dog,Golden Retriever,Female,Yes,2013-09-15,88.2,Not Insured,None,Active
P000047,C000031,Cooper,Cat,Russian Blue,Male,No,2012-05-21,9.3,Not Insured,None,Active
P000048,C000032,Charlie,Dog,Golden Retriever,Female,Yes,2020-11-14,52.6,Not Insured,None,Active
P000049,C000033,Molly,Dog,Labrador Retriever,Male,No,2012-02-21,61.1,Insured,Diabetes,Active
P000050,C000033,Sadie,Dog,Beagle,Male,Yes,2025-06-06,93.4,Insured,None,Active
P000051,C000034,Blue,Dog,Golden Retriever,Male,Yes,2022-06-20,44.2,Not Insured,None,Active
P000052,C000035,Rosie,Dog,Labrador Retriever,Female,Yes,2025-02-10,93.0,Not Insured,None,Active
P000053,C000035,Poppy,Dog,Chihuahua,Female,Yes,2019-05-05,68.5,Not Insured,None,Active
P000054,C000035,Ginger,Cat,Bengal,Male,No,2020-09-28,12.2,Not Insured,None,Active
P000055,C000036,Duke,Cat,Domestic Longhair,Male,Yes,2014-08-27,18.3,Not Insured,None,Active
P000056,C000037,Murphy,Dog,German Shepherd,Male,No,2016-10-26,23.7,Not Insured,None,Active
P000057,C000038,Murphy,Dog,Yorkshire Terrier,Male,Yes,2013-05-11,93.8,Not Insured,None,Active
P000058,C000039,Cooper,Dog,Boxer,Male,No,2019-05-22,6.2,Not Insured,None,Active
P000059,C000040,Duke,Dog,German Shepherd,Male,Yes,2014-01-07,26.2,Insured,None,Active
P000060,C000040,Leo,Dog,Mixed Breed,Male,Yes,2019-09-24,75.2,Not Insured,None,Active
P000061,C000041,Duke,Dog,Chihuahua,Male,Yes,2020-08-30,75.5,Not Insured,Diabetes,Active
P000062,C000042,Stella,Dog,Labrador Retriever,Male,Yes,2013-06-09,57.2,Not Insured,None,Active
P000063,C000043,Daisy,Dog,Boxer,Female,Yes,2024-03-30,76.0,Not Insured,None,Active
P000064,C000043,Molly,Dog,Beagle,Female,Yes,2014-04-14,71.1,Not Insured,None,Active
P000065,C000044,Milo,Dog,Beagle,Male,Yes,2019-01-02,12.3,Not Insured,None,Active
P000066,C000045,Duke,Cat,Bengal,Male,Yes,2025-02-07,9.4,Not Insured,None,Active
P000067,C000046,Cooper,Dog,German Shepherd,Male,Yes,2018-12-25,52.6,Not Insured,Arthritis,Active
P000068,C000047,Finn,Dog,Labrador Retriever,Female,Yes,2025-07-08,59.0,Not Insured,None,Active
P000069,C000048,Winston,Cat,Maine Coon,Female,Yes,2020-09-20,5.6,Not Insured,None,Active
P000070,C000049,Buddy,Cat,Siamese,Male,Yes,2018-12-17,10.5,Not Insured,Kidney Disease,Active
P000071,C000049,Jasper,Dog,Labrador Retriever,Female,Yes,2021-07-26,83.5,Not Insured,Kidney Disease,Active
P000072,C000050,Rocky,Dog,Chihuahua,Male,Yes,2024-04-03,81.3,Not Insured,None,Active
P000073,C000050,Murphy,Cat,Maine Coon,Female,No,2025-02-13,19.6,Not Insured,None,Active
P000074,C000050,Winston,Dog,Labrador Retriever,Male,Yes,2015-10-16,57.9,Not Insured,None,Active
P000075,C000051,Poppy,Cat,Ragdoll,Male,Yes,2018-06-26,13.1,Not Insured,None,Active
P000076,C000051,Lucy,Dog,Labrador Retriever,Male,Yes,2013-12-06,96.6,Not Insured,Allergies,Active
P000077,C000052,Oliver,Dog,Labrador Retriever,Female,Yes,2019-10-07,91.7,Not Insured,Allergies,Active
P000078,C000052,Willow,Cat,Bengal,Female,Yes,2014-09-02,17.3,Insured,None,Active
P000079,C000053,Mochi,Cat,Domestic Shorthair,Male,No,2020-08-16,13.3,Insured,None,Active
P000080,C000053,Biscuit,Cat,Maine Coon,Male,Yes,2012-03-27,19.5,Not Insured,Seizure Disorder,Active
P000081,C000053,Bear,Cat,Domestic Longhair,Male,Yes,2009-02-08,18.3,Not Insured,Kidney Disease,Active
P000082,C000054,Charlie,Dog,French Bulldog,Male,No,2014-10-30,60.7,Insured,Arthritis,Active
P000083,C000054,Daisy,Dog,Yorkshire Terrier,Female,No,2023-03-05,76.4,Not Insured,Heart Disease,Active
P000084,C000055,Daisy,Dog,Chihuahua,Male,Yes,2023-11-22,32.8,Insured,Seizure Disorder,Active
P000085,C000055,Ruby,Dog,Chihuahua,Male,Yes,2020-04-24,59.1,Not Insured,None,Active
P000086,C000056,Sadie,Dog,German Shepherd,Male,Yes,2025-01-26,68.1,Insured,None,Active
P000087,C000057,Cooper,Dog,Labrador Retriever,Female,Yes,2015-11-04,55.5,Not Insured,Arthritis,Active
P000088,C000058,Coco,Cat,Persian,Male,Yes,2015-07-16,5.1,Insured,Diabetes,Active
P000089,C000059,Coco,Dog,French Bulldog,Female,No,2018-03-02,71.2,Insured,None,Active
P000090,C000059,Luna,Dog,Australian Shepherd,Female,Yes,2025-06-05,35.9,Not Insured,None,Active
P000091,C000059,Winston,Dog,Australian Shepherd,Female,Yes,2022-07-11,84.0,Insured,None,Active
P000092,C000060,Penny,Rabbit,Mini Rex,Male,Yes,2017-11-08,5.1,Insured,None,Active
P000093,C000061,Bella,Dog,Australian Shepherd,Male,Yes,2022-03-23,87.1,Not Insured,None,Active
P000094,C000062,Max,Dog,Yorkshire Terrier,Male,Yes,2018-07-02,36.7,Not Insured,Allergies,Active
P000095,C000062,Milo,Cat,Russian Blue,Male,Yes,2024-10-08,17.0,Insured,None,Active
P000096,C000063,Duke,Dog,Chihuahua,Female,Yes,2020-08-29,34.8,Not Insured,None,Active
P000097,C000064,Coco,Dog,Golden Retriever,Female,No,2018-09-06,68.2,Insured,None,Active
P000098,C000065,Stella,Cat,Bengal,Female,Yes,2022-01-04,18.8,Insured,None,Active
P000099,C000066,Jasper,Dog,Beagle,Male,Yes,2020-01-14,8.3,Not Insured,None,Active
P000100,C000067,Nala,Dog,Golden Retriever,Female,Yes,2023-06-17,85.1,Not Insured,None,Active
P000101,C000068,Milo,Cat,Bengal,Male,Yes,2015-05-27,11.7,Insured,Arthritis,Active
P000102,C000069,Stella,Cat,Persian,Female,Yes,2017-11-06,5.8,Not Insured,None,Active
P000103,C000070,Zoe,Dog,Great Dane,Male,Yes,2019-02-11,36.4,Not Insured,Allergies,Active
P000104,C000070,Oliver,Dog,Yorkshire Terrier,Female,Yes,2018-01-04,74.6,Not Insured,Kidney Disease,Active
P000105,C000071,Rosie,Dog,French Bulldog,Female,Yes,2023-03-15,18.5,Not Insured,Arthritis,Active
P000106,C000072,Teddy,Dog,Boxer,Male,No,2023-11-01,95.2,Not Insured,None,Active
P000107,C000073,Nala,Dog,Golden Retriever,Female,Yes,2014-08-19,16.5,Insured,Allergies,Active
P000108,C000074,Jasper,Cat,Bengal,Male,Yes,2020-11-11,19.4,Not Insured,None,Active
P000109,C000074,Max,Cat,Persian,Female,Yes,2021-06-02,15.5,Not Insured,None,Active
P000110,C000074,Milo,Dog,Mixed Breed,Female,Yes,2020-02-12,27.2,Not Insured,None,Active
P000111,C000075,Zoe,Dog,Poodle,Male,No,2016-10-07,94.2,Not Insured,None,Active
P000112,C000076,Teddy,Cat,Maine Coon,Male,Yes,2011-05-14,17.0,Not Insured,None,Active
P000113,C000077,Nala,Bird,Cockatiel,Male,No,2012-10-28,7.9,Not Insured,None,Active
P000114,C000077,Rosie,Cat,Domestic Shorthair,Female,No,2016-03-07,7.6,Not Insured,None,Active
P000115,C000078,Rocky,Dog,Australian Shepherd,Male,Yes,2021-10-23,38.7,Not Insured,None,Active
P000116,C000079,Milo,Dog,Mixed Breed,Male,No,2016-04-21,54.6,Not Insured,Allergies,Active
P000117,C000080,Teddy,Cat,Persian,Male,Yes,2019-07-20,15.9,Not Insured,None,Active
P000118,C000081,Murphy,Dog,German Shepherd,Female,Yes,2016-02-25,46.5,Insured,Heart Disease,Active
P000119,C000081,Blue,Dog,Golden Retriever,Male,Yes,2015-02-08,62.5,Not Insured,None,Active
P000120,C000081,Stella,Dog,Yorkshire Terrier,Female,No,2019-09-21,54.7,Not Insured,None,Active
P000121,C000082,Charlie,Dog,Poodle,Male,Yes,2017-10-19,74.1,Insured,None,Active
P000122,C000083,Nala,Dog,Great Dane,Male,Yes,2017-08-27,10.7,Not Insured,None,Active
P000123,C000084,Rosie,Dog,German Shepherd,Female,Yes,2014-07-21,31.6,Not Insured,None,Inactive
P000124,C000084,Duke,Dog,Great Dane,Male,Yes,2020-05-24,69.1,Not Insured,Arthritis,Active
P000125,C000085,Pepper,Dog,Mixed Breed,Male,Yes,2020-03-21,95.4,Not Insured,None,Active
P000126,C000085,Hazel,Dog,German Shepherd,Female,No,2020-02-29,43.4,Insured,None,Active
P000127,C000086,Duke,Dog,French Bulldog,Male,Yes,2023-07-24,75.4,Not Insured,None,Active
P000128,C000087,Molly,Dog,Labrador Retriever,Female,Yes,2022-03-16,13.5,Not Insured,None,Active
P000129,C000088,Stella,Dog,Great Dane,Female,Yes,2020-12-25,67.7,Not Insured,None,Active
P000130,C000088,Bailey,Cat,Bengal,Female,No,2015-01-19,5.2,Not Insured,None,Active
P000131,C000088,Scout,Dog,Mixed Breed,Female,Yes,2020-10-25,75.7,Not Insured,None,Active
P000132,C000089,Poppy,Dog,Golden Retriever,Female,Yes,2020-05-31,29.9,Not Insured,None,Active
P000133,C000090,Milo,Cat,Persian,Male,No,2011-02-07,15.7,Not Insured,Allergies,Active
P000134,C000091,Max,Dog,Poodle,Male,Yes,2012-11-17,14.0,Not Insured,None,Active
P000135,C000092,Nala,Dog,Poodle,Female,Yes,2017-11-14,67.4,Not Insured,None,Active
P000136,C000093,Milo,Dog,Boxer,Female,Yes,2021-08-28,71.6,Not Insured,None,Active
P000137,C000094,Pepper,Dog,Golden Retriever,Male,Yes,2022-02-21,37.3,Not Insured,None,Active
P000138,C000095,Stella,Dog,Labrador Retriever,Male,Yes,2017-09-10,28.1,Not Insured,None,Active
P000139,C000095,Luna,Dog,French Bulldog,Female,Yes,2023-11-07,62.2,Not Insured,Seizure Disorder,Active
P000140,C000096,Rocky,Dog,Chihuahua,Female,Yes,2025-02-13,61.1,Not Insured,None,Active
P000141,C000096,Lola,Dog,Boxer,Male,Yes,2021-04-23,34.1,Insured,None,Active
P000142,C000097,Oliver,Cat,Russian Blue,Female,Yes,2017-04-05,18.8,Not Insured,Allergies,Active
P000143,C000098,Cooper,Rabbit,Netherland Dwarf,Female,Yes,2017-08-21,3.1,Not Insured,None,Active
P000144,C000099,Biscuit,Dog,Mixed Breed,Female,Yes,2018-03-24,21.8,Not Insured,None,Active
P000145,C000099,Penny,Dog,Mixed Breed,Male,No,2021-12-26,57.0,Not Insured,Allergies,Active
P000146,C000100,Teddy,Cat,Bengal,Male,Yes,2013-04-01,11.4,Not Insured,Heart Disease,Active
P000147,C000100,Biscuit,Dog,Yorkshire Terrier,Female,Yes,2025-03-13,32.1,Not Insured,Allergies,Active
P000148,C000100,Poppy,Cat,Maine Coon,Male,Yes,2011-03-12,18.8,Not Insured,None,Active
P000149,C000101,Scout,Dog,Chihuahua,Female,Yes,2022-08-01,65.5,Insured,None,Active
P000150,C000102,Scout,Bird,Other,Female,Yes,2022-10-31,7.0,Not Insured,None,Active
P000151,C000103,Lucy,Dog,Yorkshire Terrier,Male,Yes,2025-03-02,97.4,Not Insured,Allergies,Active
P000152,C000104,Hazel,Dog,Mixed Breed,Female,Yes,2021-07-19,47.5,Not Insured,None,Active
P000153,C000104,Duke,Cat,Bengal,Female,Yes,2022-10-15,11.2,Not Insured,Arthritis,Active
P000154,C000104,Buddy,Cat,Bengal,Male,Yes,2022-04-26,6.5,Not Insured,None,Active
P000155,C000105,Scout,Dog,Poodle,Female,Yes,2014-08-22,41.6,Insured,None,Active
P000156,C000106,Murphy,Dog,Mixed Breed,Male,Yes,2025-09-12,92.8,Not Insured,None,Active
P000157,C000107,Winston,Cat,Persian,Male,Yes,2025-01-09,15.3,Insured,None,Active
P000158,C000108,Molly,Dog,Labrador Retriever,Male,Yes,2022-11-14,75.9,Not Insured,None,Active
P000159,C000108,Milo,Cat,Maine Coon,Male,Yes,2020-11-12,16.8,Not Insured,Arthritis,Active
P000160,C000108,Teddy,Cat,Domestic Shorthair,Female,No,2021-12-04,16.8,Not Insured,None,Active
P000161,C000109,Coco,Cat,Russian Blue,Female,No,2025-02-28,6.6,Insured,None,Active
P000162,C000110,Scout,Dog,Poodle,Female,Yes,2016-03-07,87.4,Not Insured,None,Active
P000163,C000110,Finn,Cat,Maine Coon,Female,Yes,2020-05-24,5.7,Not Insured,None,Active
P000164,C000111,Daisy,Dog,Boxer,Female,Yes,2025-07-27,73.0,Not Insured,Allergies,Active
P000165,C000111,Biscuit,Cat,Siamese,Male,Yes,2015-11-23,6.4,Not Insured,None,Active
P000166,C000112,Cooper,Bird,African Grey,Male,Yes,2025-10-24,5.4,Not Insured,Heart Disease,Active
P000167,C000112,Leo,Dog,German Shepherd,Male,Yes,2018-06-24,27.0,Insured,None,Active
P000168,C000113,Winston,Dog,Great Dane,Male,Yes,2017-11-14,32.2,Not Insured,None,Active
P000169,C000114,Lucy,Cat,Domestic Shorthair,Female,Yes,2024-04-06,7.8,Not Insured,None,Active
P000170,C000115,Blue,Cat,Siamese,Female,No,2020-03-26,15.4,Insured,None,Active
P000171,C000115,Cooper,Dog,Beagle,Female,Yes,2014-07-30,14.8,Insured,Seizure Disorder,Active
P000172,C000116,Biscuit,Cat,Siamese,Female,Yes,2014-09-24,16.9,Not Insured,None,Active
P000173,C000117,Ginger,Cat,Domestic Shorthair,Female,Yes,2019-07-23,10.1,Not Insured,None,Active
P000174,C000118,Murphy,Dog,French Bulldog,Female,Yes,2018-08-24,93.5,Not Insured,None,Active
P000175,C000118,Willow,Cat,Siamese,Male,Yes,2022-07-29,13.1,Not Insured,None,Active
P000176,C000118,Zoe,Bird,Parakeet,Female,Yes,2021-05-09,4.4,Not Insured,Arthritis,Active
P000177,C000118,Buddy,Dog,Labrador Retriever,Male,No,2020-10-18,99.0,Not Insured,None,Active
P000178,C000119,Poppy,Dog,German Shepherd,Female,Yes,2021-11-08,26.0,Not Insured,Allergies,Active
P000179,C000119,Duke,Dog,Mixed Breed,Male,No,2020-06-11,47.6,Not Insured,None,Active
P000180,C000120,Nala,Dog,Golden Retriever,Male,No,2022-07-29,7.8,Not Insured,Allergies,Active
P000181,C000120,Bella,Dog,Great Dane,Female,Yes,2022-07-01,18.7,Insured,None,Active
P000182,C000121,Buddy,Dog,German Shepherd,Male,Yes,2019-05-22,95.4,Insured,None,Active
P000183,C000121,Lucy,Dog,Yorkshire Terrier,Female,Yes,2013-05-23,46.1,Not Insured,None,Active
P000184,C000122,Willow,Rabbit,Mini Rex,Male,Yes,2019-06-12,5.1,Insured,Diabetes,Active
P000185,C000123,Ginger,Cat,Domestic Longhair,Male,Yes,2020-10-03,9.1,Insured,Arthritis,Deceased
P000186,C000124,Molly,Dog,Beagle,Male,Yes,2025-02-15,52.6,Not Insured,None,Active
P000187,C000125,Finn,Dog,Labrador Retriever,Male,Yes,2013-03-18,14.9,Insured,None,Active
P000188,C000126,Bella,Cat,Ragdoll,Male,Yes,2022-07-16,5.3,Not Insured,None,Active
P000189,C000127,Scout,Dog,Chihuahua,Female,Yes,2021-10-31,31.2,Not Insured,None,Active
P000190,C000127,Ginger,Dog,German Shepherd,Female,Yes,2025-03-14,53.3,Not Insured,Arthritis,Inactive
P000191,C000128,Poppy,Dog,Mixed Breed,Male,No,2020-12-21,13.3,Not Insured,None,Active
P000192,C000129,Bear,Dog,Beagle,Male,Yes,2021-09-05,48.3,Not Insured,Allergies,Active
P000193,C000130,Willow,Rabbit,Mini Rex,Male,Yes,2019-09-05,4.8,Insured,Allergies,Active
P000194,C000130,Buddy,Dog,Beagle,Male,Yes,2017-07-07,53.2,Not Insured,None,Active
P000195,C000131,Milo,Dog,Great Dane,Female,Yes,2022-02-07,62.4,Insured,None,Active
P000196,C000132,Luna,Dog,Great Dane,Male,Yes,2014-09-30,86.4,Not Insured,None,Active
P000197,C000132,Charlie,Dog,Labrador Retriever,Female,Yes,2020-03-30,18.2,Not Insured,Seizure Disorder,Active
P000198,C000132,Luna,Dog,Poodle,Female,Yes,2021-07-22,51.8,Not Insured,Allergies,Active
P000199,C000133,Sadie,Dog,Australian Shepherd,Male,Yes,2012-08-23,66.7,Not Insured,None,Active
P000200,C000134,Daisy,Cat,Persian,Male,Yes,2019-07-22,7.3,Not Insured,Allergies,Deceased
P000201,C000134,Teddy,Cat,Bengal,Male,Yes,2013-05-12,17.1,Insured,None,Active
P000202,C000134,Murphy,Dog,French Bulldog,Male,Yes,2018-10-23,86.7,Not Insured,Heart Disease,Active
P000203,C000135,Hazel,Cat,Russian Blue,Male,Yes,2020-05-03,17.0,Not Insured,None,Active
P000204,C000136,Nala,Dog,Australian Shepherd,Male,Yes,2021-07-26,72.3,Insured,None,Active
P000205,C000137,Winston,Cat,Domestic Longhair,Male,Yes,2021-10-15,7.4,Not Insured,Allergies,Active
P000206,C000138,Biscuit,Dog,Chihuahua,Male,No,2022-12-01,29.2,Not Insured,Allergies,Active
P000207,C000139,Teddy,Cat,Maine Coon,Male,Yes,2017-02-02,9.7,Not Insured,None,Active
P000208,C000139,Biscuit,Cat,Siamese,Male,Yes,2018-05-03,15.4,Not Insured,None,Active
P000209,C000140,Bailey,Dog,Golden Retriever,Male,Yes,2016-04-09,56.9,Not Insured,None,Active
P000210,C000141,Lola,Dog,Mixed Breed,Female,Yes,2024-02-04,45.0,Not Insured,None,Active
P000211,C000142,Rosie,Rabbit,Mini Rex,Male,Yes,2019-03-09,7.0,Not Insured,None,Active
P000212,C000143,Zoe,Other,Guinea Pig,Male,No,2017-03-16,9.3,Not Insured,Arthritis,Active
P000213,C000144,Rocky,Dog,Golden Retriever,Male,Yes,2017-01-28,63.2,Not Insured,None,Active
P000214,C000144,Penny,Cat,Siamese,Male,Yes,2015-05-19,14.9,Insured,Allergies,Active
P000215,C000144,Biscuit,Dog,Poodle,Female,Yes,2013-06-14,48.7,Insured,None,Active
P000216,C000145,Teddy,Dog,Poodle,Male,Yes,2023-07-21,87.4,Insured,None,Active
P000217,C000146,Lucy,Dog,Labrador Retriever,Male,No,2015-01-25,4.4,Insured,None,Active
P000218,C000147,Scout,Other,Other,Male,Yes,2019-06-29,4.8,Not Insured,None,Active
P000219,C000148,Scout,Cat,Persian,Female,Yes,2016-07-27,17.6,Not Insured,Seizure Disorder,Active
P000220,C000148,Bella,Dog,Boxer,Female,Yes,2019-04-10,50.1,Not Insured,Arthritis,Active
P000221,C000149,Winston,Cat,Bengal,Female,Yes,2019-09-28,6.7,Not Insured,None,Active
P000222,C000150,Tucker,Rabbit,Mixed Breed,Female,No,2021-07-28,2.8,Not Insured,None,Active
P000223,C000151,Rocky,Dog,Poodle,Male,No,2018-01-17,22.9,Not Insured,None,Active
P000224,C000152,Winston,Dog,Golden Retriever,Female,Yes,2020-12-18,95.9,Not Insured,None,Inactive
P000225,C000153,Jasper,Dog,Beagle,Male,Yes,2024-01-29,68.8,Not Insured,Diabetes,Active
P000226,C000154,Murphy,Cat,Domestic Longhair,Female,Yes,2012-05-14,18.3,Not Insured,None,Active
P000227,C000155,Lucy,Dog,Labrador Retriever,Female,Yes,2018-06-30,64.4,Not Insured,None,Active
P000228,C000155,Poppy,Cat,Domestic Shorthair,Female,No,2019-03-20,12.0,Not Insured,None,Active
P000229,C000156,Biscuit,Dog,Golden Retriever,Female,Yes,2014-06-25,27.9,Insured,None,Active
P000230,C000157,Winston,Dog,Mixed Breed,Male,Yes,2017-10-26,43.5,Insured,None,Active
P000231,C000158,Bailey,Dog,French Bulldog,Male,No,2015-06-21,28.9,Not Insured,Arthritis,Active
P000232,C000159,Mochi,Cat,Maine Coon,Male,Yes,2021-02-24,19.7,Not Insured,None,Active
P000233,C000160,Pepper,Dog,Beagle,Male,Yes,2018-12-19,11.7,Not Insured,None,Active
P000234,C000161,Oliver,Dog,Poodle,Female,Yes,2016-11-19,82.0,Insured,Diabetes,Active
P000235,C000162,Hazel,Cat,Persian,Male,Yes,2025-03-06,17.0,Not Insured,Allergies,Active
P000236,C000162,Mochi,Rabbit,Mini Rex,Male,Yes,2018-10-04,8.5,Not Insured,None,Active
P000237,C000163,Finn,Cat,Ragdoll,Female,No,2018-06-26,18.5,Not Insured,None,Active
P000238,C000164,Duke,Dog,Labrador Retriever,Male,Yes,2020-06-23,26.4,Not Insured,Kidney Disease,Active
P000239,C000165,Hazel,Cat,Domestic Longhair,Female,Yes,2025-10-18,18.3,Not Insured,None,Active
P000240,C000165,Daisy,Dog,French Bulldog,Female,No,2020-03-19,69.7,Not Insured,None,Active
P000241,C000166,Tucker,Cat,Domestic Longhair,Male,Yes,2020-06-14,16.1,Not Insured,None,Active
P000242,C000167,Coco,Dog,German Shepherd,Female,No,2020-05-15,71.9,Not Insured,Allergies,Active
P000243,C000167,Duke,Cat,Russian Blue,Female,Yes,2017-03-29,12.3,Not Insured,None,Active
P000244,C000167,Murphy,Dog,Beagle,Female,Yes,2022-10-04,70.0,Not Insured,None,Active
P000245,C000168,Tucker,Dog,Chihuahua,Male,Yes,2022-11-20,58.9,Not Insured,Diabetes,Active
P000246,C000169,Daisy,Dog,French Bulldog,Female,Yes,2019-10-16,95.0,Not Insured,Diabetes,Active
P000247,C000170,Willow,Dog,Golden Retriever,Female,Yes,2021-11-14,6.9,Not Insured,Kidney Disease,Active
P000248,C000171,Blue,Dog,Australian Shepherd,Female,Yes,2012-06-15,39.1,Not Insured,None,Active
P000249,C000171,Oliver,Dog,French Bulldog,Male,Yes,2025-10-10,4.7,Insured,None,Active
P000250,C000172,Willow,Dog,Chihuahua,Female,Yes,2014-02-24,93.8,Not Insured,None,Active
P000251,C000173,Rosie,Dog,Golden Retriever,Female,Yes,2024-04-01,11.4,Not Insured,None,Active
P000252,C000174,Mochi,Dog,Mixed Breed,Female,Yes,2019-01-02,87.9,Not Insured,None,Active
P000253,C000175,Bella,Dog,Mixed Breed,Male,Yes,2022-01-16,62.9,Not Insured,None,Active
P000254,C000176,Nala,Cat,Domestic Longhair,Male,Yes,2022-08-27,17.2,Not Insured,None,Active
P000255,C000177,Oliver,Dog,Australian Shepherd,Male,Yes,2018-03-21,75.7,Not Insured,None,Active
P000256,C000178,Poppy,Dog,Boxer,Male,Yes,2024-10-13,83.6,Not Insured,Diabetes,Active
P000257,C000179,Jasper,Dog,Poodle,Male,Yes,2017-08-28,26.0,Not Insured,None,Active
P000258,C000179,Ruby,Dog,French Bulldog,Male,Yes,2016-05-07,19.6,Not Insured,None,Active
P000259,C000179,Leo,Dog,French Bulldog,Female,Yes,2018-11-12,41.2,Not Insured,None,Active
P000260,C000180,Finn,Dog,Labrador Retriever,Male,Yes,2019-03-19,63.2,Not Insured,Seizure Disorder,Active
